Speaker,Original Witch Hunt (OG)
,"""......Kasumi-sama.  The escaping car was a rental.  The license plate they displayed was a fake.  This is clearly a pro.  They will probably abandon the car.  Pursuit will be difficult.  ......Should we have the police chase them?"""
Sumadera Kasumi,""".........I see.  Shall we have them search for a runaway daughter?  They are getting paid with our taxes, so the police must be of some use every once in a while.  Ho ho ho ho........."
Sumadera Kasumi,"Mother sternly said that she would leave it to me when I left the mansion, you see?  Do you intend to embarrass me further......?"
Sumadera Kasumi,"  It looks like it might be better for me to serve some matcha for everyone at once, doesn't it?  ......Our underground tea room is cramped, so you'll have to wait in line, won't you......?"""
,"""N, no...  We will search with everything we have."""
Sumadera Kasumi,"""......Ah, she really is a cute kid, just like Nee-san.  ......Especially the way that she freewheels and does as she pleases.  ......Ah, now I can't see anything but Nee-san."
Sumadera Kasumi,"  Ah, I'm truly looking forward to it.  If only I could invite Nee-san's daughter to my tea room, right......?  Ho ho ho ho ho......!!"""
Ushiromiya Ange,"""......The Sumadera family sure moved quickly.  Did Okonogi-san sell me out...?"""
Amakusa Juuza,"""You're joking.  He's my client.  If he had sold you out, he wouldn't have hired me, right...?"""
Ushiromiya Ange,""".....................I guess that's true."""
Amakusa Juuza,"""......Ah, so that's why you got off the elevator at the third floor?"""
Ushiromiya Ange,"""Having a car waiting in the underground parking lot was too strange and too clever of him.  I thought that I might have been sold out by Okonogi-san.  ......Although by now, it's impossible to prove whether there was an ambush set up in the parking lot or not."""
Amakusa Juuza,"""I see, that pitiful president guy.  Looks like you don't trust him, lady.  That car in the basement...was mine."""
Ushiromiya Ange,"""Huh......?  He was talking about you, Amakusa...?"""
Amakusa Juuza,"""I got frantic when the elevator came and was empty.  I wonder what would have happened by now if I hadn't listened in on their radio."""
Ushiromiya Ange,"""............So what's going on?  If I had obediently believed Okonogi-san and gone to the parking lot, there would have been no need for me to do that jump off the third floor...?"""
Amakusa Juuza,"""That's how it goes.  Well, it turned out alright in the end."""
Ushiromiya Ange,"""....................."""
,".........What the hell."
,"If I hadn't suspected President Okonogi, ......I could have easily escaped without getting caught in a tough spot."
,"'President Okonogi might have sold me out'."
,"No, because paranoia told me that it was better to guess that he had sold me out, I supposed and decided that 'he had sold me out'."
,"Because I wasn't able to believe him, regardless of his truth, my truth became 'he sold me out'......"
,"I thought back on President Okonogi's words."
,"Can you really call truth without certainty truth...?"
,"Truth can change completely depending on whether you have love or not."
,"In the end, ......perhaps truth itself doesn't exist."
,"There are as many truths of interpretation created as there are people who speak of the truth."
,"If I can't accept something that unfixed as truth, ......where does the truth that I really want to find exist?  ......And is that something that can be seen with my eyes?"
,"Surprisingly enough, ...even if this is the truth that is being thrust in front of me, it may be something that I cannot see..."
Ushiromiya Ange,"""......Without love, it cannot be seen...is it..."""
{f:5:Bernkastel},""".........This Fragment of yours is very lively.  It doesn't bore me."""
Ushiromiya Ange,"""You said it.  You told me to search for the truth of 12 years ago.  ......But there's something I'm not getting."""
{f:5:Bernkastel},"""What's that?"""
Ushiromiya Ange,"""......What is truth?  There are as many truths as there are people.  There are as many interpretations as there are people.  And those can be twisted by opinions and changed indefinitely.  ......Is truth really that unfixed and vague?"""
{f:5:Bernkastel},"""That's right.  ......Truth is unfixed.  It can be like a particle, or like a wave, and it can hold conflicting forms at the same time."
{f:5:Bernkastel},"  You are free to believe that the cat in the box is alive or dead.  ......But the truth is very delicate.  It can change its appearance just by being observed."""
Ushiromiya Ange,"""You're talking about stuff like Schrodinger's cat box?  .........Nonsense.  If you open the box, you learn the truth.  Discussion about what happens before you open it is just an armchair theory."""
{f:5:Bernkastel},"""That's right.  And yet, in order to deny that abstract theory, you need to open the box.  ......It is impossible to negate any idea about the contents of a box that cannot be opened.  This is what truth is."""
Ushiromiya Ange,""".........As long as truth isn't denied, it keeps its form."""
{f:5:Bernkastel},"""That's right.  As long as truth isn't observed, it keeps its form."""
Ushiromiya Ange,"""In other words, if it isn't exposed, any reckless statement can suffice as truth."""
{f:5:Bernkastel},"""Yes.  ......Even if they contradict each other, endless ideas can exist as truth at the same time without being negated."""
Ushiromiya Ange,""".........So even something as screwed up as my family being captured by the Rokkenjima witch and shut up 12 years ago for all eternity, can exist as truth as long as we don't know what happened 12 years ago..."""
{f:5:Bernkastel},"""12 years ago, in Rokkenjima, the witch called Beatrice wrenched open an opportunity for 'Endless' ideas, and swallowed everything there up in a cat box.  ......Everything in a box which cannot be opened is truth."""
,"That's right.We don't know what happened on that island, so it becomes endless."
Ushiromiya Ange,"""......It can't remain closed.  I just have to wrench it open.  "
Ushiromiya Ange,".........But that box was closed up 12 years ago, and I don't even know where it is.  ......Even if I visit Rokkenjima, just what can I learn about what happened 12 years ago on that desolated island?"""
{f:5:Bernkastel},"""Who knows?  I wonder what you could learn.  .........This is something that can only be done by the person who is able to walk around freely in the world of 1998, 12 years in the future, the final witch, ANGE Beatrice."""
Ushiromiya Ange,""".................."""
{f:5:Bernkastel},"""Beatrice's game board lasts two days, from October 4, 1986 to the 5th.  In other words, this means that you are a piece who can move freely outside her game board.  ......And even Beatrice cannot influence this future that lies outside the game board."""
Ushiromiya Ange,"""......If you say it like that, it sounds like I'm a pretty overpowered piece."""
{f:5:Bernkastel},"""The future of 12 years later in which you are placed certainly is distant.  However, the further a piece is placed in the future, the stronger power it holds.  ......I told you, didn't I?  The truth changes its appearance when it is observed."""
Ushiromiya Ange,"""Come to think of it, I heard something like that once.  ......Even if one day, all of a sudden, a star in the constellation Centaurus were to explode, the light from that explosion would have to cross 4.4 light years, so it would take it four and a half years to reach the Earth."""
{f:5:Bernkastel},"""That's right.  In other words, even if the sun in Centaurus has already died, people on Earth wouldn't be able to perceive that fact for four and a half years.  ......Because no method of perception exists that is faster than the speed of light."""
,"At the time we learn that the sun in Centaurus exploded..."
,"We Earth people will paint over our history of four and a half years ago with a new truth.We will revise history with a new fact: that it exploded four and a half years ago."
,"However, for the four and a half year period until we learn that, despite the fact that it has already died, the mistaken truth that the sun of Centaurus still exists will be able to exist as truth."
,"The truth of the future wins against the truth of the past."
Ushiromiya Ange,""".........That's right.  By itself, the Rokkenjima accident gave rise to nothing but suspicion of a conspiracy regarding Eva oba-san and the Ushiromiya family.  "
Ushiromiya Ange,"......But later on...  It was dramatized and linked to the occult, and the conspiracy was painted over by the legend of the witch."""
,"Even though it was clambered over as a conspiracy at the time of the crime, later on, strange occult theories, which claimed that it was the work of the witch, ran rampant and began to paint over the truth of October 5, 1986..."
,"The conspiracy theories will probably be forgotten over time."
,"......And only the more bizarre, impressive witch theory will continue to remain as superstition, eventually covering up the conspiracy theories."
Ushiromiya Ange,"""That's right.  The false truth that exists before the light from an exploding star reaches Earth is almost like the conspiracy theory, which is the human theory."
Ushiromiya Ange,"  .........The wine bottle with a letter in it that drifted ashore several years later, the 'message bottle', painted over that theory and made things return to the occult theory, which is the witch's theory."
Ushiromiya Ange,"......That's right.  A witch didn't exist during 1986.  The witch took control of Rokkenjima because she was 'observed' several years later by us humans of the future, thanks to that message bottle...!"""
{f:5:Bernkastel},"""......A small revision is necessary.  The witch could have existed even during 1986.  As one of many endless possibilities that can exist."""
Ushiromiya Ange,"""Certainly.  If she were observed, she would disappear, so she curled up in the cat box.  ......That's why the message bottle is so bad."
Ushiromiya Ange,"...The witch tried to get out of the box.  She made it so that she would be observed, weeding out possibilities other than the witch theory.  ......In other words, to make it impossible to negate her, she negated all possibilities other than the witch theory."
Ushiromiya Ange,".........What the hell.  So in other words, Beatrice satisfied the Devil's Proof with a frontal attack.  And, that was part of the witch's plan from the beginning."""
{f:5:Bernkastel},"""The message bottle is information observed in the future after 1986.  .........It cannot be observed by Beatrice or Battler.  ...It can only be observed by ANGE Beatrice."""
Ushiromiya Ange,"""......I really didn't want to investigate the message bottle.  ...After all, reading that would be like listening to the witch's say.  Since I ignored the witch theory as though it was crazy, I thought of it as nothing more than a waste of time."
Ushiromiya Ange,"......But Okonogi-san told me.  You can't see things in three dimensions with only one eye."""
{f:5:Bernkastel},"""You mean that while looking at it from the viewpoint of denying witches, you must also look at it from the viewpoint of accepting witches?  ......That is the correct way to think.  The number of viewpoints is like a denominator.  If there is one viewpoint, the mystery in the numerator doesn't decrease in the slightest.  However, the more your number of viewpoints increases, the more the mystery begins to be divided."""
Ushiromiya Ange,"""I understand.  ......There was a message bottle that washed up on a neighboring island several years after the crime.  That passed into the hands of a dilettante.  I made an appointment, just in case."""
,"...I was able to hear Eva oba-san's say from Okonogi-san."
,"Next is...the witch's say.Why don't I listen?  To Beatrice's say...!"
