Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,"It had been claimed that there were only five master keys, so I made this request to confirm that the number really was five.","That had been to confirm that there really were 5 master keys, when she claimed there were no more than 5. ","That had been to confirm that there really were five master keys when she had claimed that there were no more than 5.",これは、５本しかないと主張するマスターキーが、本当に５本であることを確認するためのものだ。,[=JP],"Нужно было убедиться, что имелось действительно пять универсальных ключей, тогда как она утверждала, что их было не более 5.","Foi afirmado que o número de chaves mestras é cinco, então eu fiz um pedido para que fosse confirmado que o número era realmente cinco.",这是为了确认，她所主张的“只有五串”的总钥匙，是否真的只有五串。,這是為了確認，她所主張的“只有五串”的總鑰匙，是否真的只有五串。,È stato usato per confermare che c'erano davvero cinque passepartout quando aveva affermato che non ce ne erano più di 5.,"Se había declarado que solo había cinco llaves maestras, así que pedí que confirmara en rojo que realmente ese era el número.",ﻛﺎﻥ ﺫﻟﻚ ﻟﺘﺄﻛﻴﺪ ﻭﺟﻮﺩ ﺧﻤﺴﺔ ﻣﻔﺎﺗﻴﺢ ﺭﺋﻴﺴﺔ، ﻓﻄﻠﺒﺖ ﺍﻟﺘﻜﺮﺍﺭ ﻷﺗﺄﻛﺪ ﺣﻘًﺎ.
,"But since that by itself doesn't deny the witch, I can't say it in blue. So, in order to speak in blue, I would need to say something like this.","But since that by itself wouldn't deny witches, I can't say it in blue. So, in order to speak in blue, I'd need to say something like this... ","But since that by itself couldn't deny the witch, I can't say it in blue.So, in order to speak in blue, I would need to say something like this.",しかしこれだけでは、魔女の否定にはならないから青で宣言は出来ないのだ。だから、青で語るにはこう言わなくてはならない。,[=JP],"Но поскольку этот факт сам по себе ведьму не отрицает, я не могу высказать его голубым. То есть для того, чтобы я смог сказать что‐либо голубым, я должен был сказать нечто вроде такого:","Mas como isso em si não nega as bruxas, eu não posso dizer em azul. Então, para falar em azul, eu preciso dizer algo assim.",可是，光这么一句话是算不上否定魔女的，因而无法用蓝字宣言。所以，用蓝字必须得这么说。,可是，光這麼一句話是算不上否定魔女的，因而無法用藍字宣言。所以，用藍字必須得這麼說。,"Ma dato che di per sé non può negare la strega, non posso dirlo in blu. {n}Quindi, per poter parlare in blu, dovrei dire qualcosa del genere.","Pero como eso por sí mismo no niega la existencia de la bruja, no puedo decirlo en azul. Así que, para hablar en azul, debería decir algo así.",ﻟﻜﻦ ﺫﻟﻚ ﻭﺣﺪﻩ ﻻ ﻳﻨﻜﺮ ﻭﺟﻮﺩ ﺍﻟﺴﺎﺣﺮﺓ، ﻟﺬﺍ ﻻ ﻳﺼﻠﺢ ﺃﻥ ﻳُﻘﺎﻝ ﺑﺎﻷﺯﺭﻕ. ﻟﺬﺍ، ﻛﻲ ﺃﺗﺤﺪﺙ ﺑﺎﻷﺯﺭﻕ، ﻳﺠﺐ ﺃﻥ ﺃﺻﻴﻎ ﻛﻼﻣﻲ ﻫﻜﺬﺍ...
,"{i:""The actual number of master keys was greater than five. The culprit used one of those extra keys to get in and out of the room!""}",'The actual number of master keys was greater than 5. The culprit entered or exited the room with that extra key!' ,"'The actual number of master keys was greater than 5.  The culprit entered or exited the room with that extra key!'",“実はマスターキーの本数が５本を越えていた。犯人はその余剰の鍵で密室を出入りした！”,“実はマスターキーの本数が５本を超えていた。犯人はその余剰の鍵で密室を出入りした！”,"{i:""Фактическое число главных ключей превышает 5. Преступник же вошел или вышел из комнаты при помощи этого дополнительного ключа!""}","{i:""O verdadeiro número de chaves mestras era maior do que cinco. O culpado usou uma dessas chaves extras para entrar e sair do quarto!""}",“其实总钥匙的数量不止五串。犯人用剩余的钥匙出入密室！”,“其實總鑰匙的數量不止五串。犯人用剩餘的鑰匙出入密室！”,‘Il numero reale dei passepartout è maggiore di 5. Il colpevole è entrato o uscito dalla stanza con una chiave in più!’,"{i:""El número actual de llaves es mayor a 5. ¡El culpable entró y salió de la habitación con una de esas llaves extra!""}...","{i:""ﺍﻟﻌﺪﺩ ﺍﻟﺤﻘﻴﻘﻲ ﻟﻠﻤﻔﺎﺗﻴﺢ ﺍﻟﺮﺋﻴﺴﺔ ﻛﺎﻥ ﺃﻛﺒﺮ ﻣﻦ ﺧﻤﺴﺔ. ﻭﻗﺪ ﺍﺳﺘﺨﺪﻡ ﺍﻟﺠﺎﻧﻲ ﺃﺣﺪ ﺗﻠﻚ ﺍﻟﻤﻔﺎﺗﻴﺢ ﺍﻹﺿﺎﻓﻴﺔ ﻣﻦ ﺃﺟﻞ ﺍﻟﺪﺧﻮﻝ ﻭﺍﻟﺨﺮﻭﺝ ﻣﻦ ﺍﻟﻐﺮﻑ ﺍﻟﻤﻐﻠﻘﺔ!""}"
,"......And only then would the witch, who claims that it was a locked‐room murder with magic, be responsible for making a counterargument. In other words, I can't use it to demand that she repeats things in order to check the premises of my reasoning.","...Only then would the witch, who claimed that this was a closed room murder made with magic, be responsible for making a counterargument. In other words, I can't demand that she repeat something that merely confirms the premises of my reasoning. ","......And only then would the witch, who claimed that it was a closed room murder with magic, be responsible for making a counterargument.In other words, I can't demand that she repeats something that checks the premises of my reasoning.",……と、こうなって初めて、魔法で密室殺人を行なったと主張する魔女に、反論する義務が生まれるわけだ。つまり、推理の前提を確認するような復唱の要求には使えない。,[=JP],"......И только тогда ведьма, утверждающая, что это была закрытая комната, в которой произошло убийство с помощью магии, обязана будет привести контраргумент. Другими словами, я не могу требовать, чтобы она что‐нибудь повторила, что позволяет мне оценить пределы моих рассуждений.","......E só então, a bruxa que afirma que o assassinato de quarto fechado foi cometido com magia, vai ter a responsabilidade de contra‐atacar. Ou seja, eu não posso usar ele para exigir que ela repita coisas com a finalidade de conferir as premissas do meu raciocínio.",……像这么说，才能令主张“以魔法实行了密室杀人”的魔女背上反驳的义务。也就是说，蓝字不能用在检验推理前提的复述要求上。,……像這麼說，才能令主張“以魔法實行了密室殺人”的魔女背上反駁的義務。也就是說，藍字不能用在檢驗推理前提的複述要求上。,"... E solo allora la strega, che aveva affermato che fosse un omicidio a stanza chiusa con la magia, è in dovere di controbattere. In altre parole, non posso chiedere che lei ripeta qualcosa che controlli le premesse del mio ragionamento.","... Y solo en ese entonces, la bruja, quien afirmó que se trataba de un asesinato de habitación cerrada con magia, sería responsable de contraargumentar. En otras palabras, no puedo usarlo para demandar que repita cosas para comprobar las premisas de mi razonamiento.",......ﺣﻴﻨﻬﺎ ﻓﻘﻂ ﺳﺘﻜﻮﻥ ﺍﻟﺴﺎﺣﺮﺓ ﻣﺠﺒﺮﺓً ﻋﻠﻰ ﺩﺣﺾ ﻛﻼﻣﻲ ﺍﻟﺬﻱ ﻳﻨﺎﻓﻲ ﻧﻈﺮﻳﺘﻬﺎ ﺍﻟﺴﺤﺮﻳﺔ. ﺑﻤﻌﻨﻰ ﺁﺧﺮ، ﻻ ﻳﻤﻜﻨﻨﻲ ﻣﻄﺎﻟﺒﺘﻬﺎ ﺑﺘﻜﺮﺍﺭ ﻣﺤﺾ ﻣﻘﺪﻣﺎﺕ ﺃﻓﻜﺎﺭ (ﺃﺟﺰﺍﺀ ﻣﻦ ﻧﻈﺮﻳﺎﺕ ﺑﺎﺗﻠﺮ).
,.........That will probably put me at a significant disadvantage.,......That'll probably be a significant disadvantage for me. ,".........That will probably be significantly disadvantageous for me.",………それは、俺に相当の不利を強いることになるだろう。,[=JP],.........Это наверняка поставит меня в крайне невыгодное положение.,.........Isso provavelmente vai me deixar em uma desvantagem significativa.,………这会迫使我陷入相当不利的处境。,………這會迫使我陷入相當不利的處境。,... Quello sarà probabilmente molto svantaggioso per me.,... Eso probablemente va a ser desfavorable para mí.,.........ﻣﻦ ﺍﻟﻤﺤﺘﻤﻞ ﺃﻥ ﻳﺸﻜﻞ ﻫﺬﺍ ﻋﺎﺋﻘًﺎ ﻛﺒﻴﺮًﺍ ﺃﻣﺎﻣﻲ.
,Crap... It's enough to make me think that all those red declarations that Beato's been making to toy with me were extremely merciful......,Crap... It's enough to make the red Beato used to toy with me until now look extremely merciful... ,"Crap...  It's enough to make me think that the red that Beato has spoken with to toy with me up until now has been extremely merciful......",畜生…。これまでのゲームでベアトが俺を弄るように宣言してきた赤が、今じゃどれほど慈悲深いものだったのかと誤解しちまうほどだぜ……。,[=JP],"Дерьмо... Этого достаточно, чтобы в голову начали закрадываться мысли, что красный, которым прежде говорила Беато, играя со мной, являлся проявлением огромного милосердия...",Merda... É o suficiente para me fazer pensar que todas as declarações vermelhas que a Beato fez para brincar comigo foram extremamente compassivas......,畜生…。到现在，我甚至会误以为，在此前贝阿朵为了玩弄我而宣言的红字，是何等仁慈之物……。,畜生…。到現在，我甚至會誤以為，在此前貝阿朵為了玩弄我而宣言的紅字，是何等仁慈之物……。,Dannazione... è sufficiente a farmi pensare che il rosso che Beato ha detto finora per giocare con me è stato estremamente misericordioso...,Mierda... Es suficiente como para hacerme pensar que el color rojo que ha usado Beato al jugar conmigo hasta el momento ha sido muy misericordioso...,ﺳﺤﻘًﺎ... ﻫﺬﺍ ﻣﻦ ﺷﺄﻧﻪ ﺃﻥ ﻳﺠﻌﻞ ﺍﻷﺣﻤﺮ ﺍﻟﺬﻱ ﺍﺳﺘﺨﺪﻣﺘﻪ ﺑﻴـﺎﺗﻮ ﻟﻠﺘﻼﻋﺐ ﺑﻲ ﺣﺘﻰ ﺍﻵﻥ ﺭﺣﻴﻤًﺎ ﻟﻠﻐﺎﻳﺔ ﻣﻘﺎﺭﻧﺔ ﺑﻬﺬﺍ......
Ushiromiya Battler,"""...Damn it. That means, even if I create a theory for a particular locked room and speak it in blue, if Beato denies it at the very, very end, I won't even have time to create my next theory...! This rule is awful... It's all disadvantage for me and me alone...""","""...Damn it. So even if I create a theory for a particular closed room and speak it in blue, if Beato denies it at the very, very end, I won't even have time to create my next theory...?! This rule's awful, horribly bad for me..."" ","""...Damn it.  So even if I create a theory for a particular closed room and speak it in blue, if Beato denies it at the very, very end, I won't even have time to create my next theory...?!  This rule is awful, and really bad for me...""",「…くそ。仮に俺がある密室について仮説を立て、それを青で語ったとしても、ベアトがそれを最後の最後で否定してきやがったら、俺には次の仮説を立てる時間すらもねえってことじゃねぇか…！　このルールは最悪だ、俺にばかり不利だ…。」,「…くそ。仮に俺がある密室について仮説を立て、それを青で語ったとしても、ベアトがそれを最後の最後で否定してきやがったら、俺には次の仮説を立てる時間すらもねえってことじゃねぇか…！　このルールは最悪だ、俺にばかり不利だ…」,"""...Чёрт возьми. То есть даже если я выдвину теорию про конкретную закрытую комнату и выскажу её голубым, но стоит Беато опровергнуть её в самом, самом конце, то я даже не успею придумать следующую теорию?! Это правило ужасно и вредно для меня...""","""...Droga. Isso significa que, mesmo se eu criar uma teoria para um quarto fechado em particular e falar em azul, se a Beato negar bem no final, eu não vou ter tempo para criar outra teoria...! Essa regra é horrível... E toda a desvantagem recai sobre mim...""",「…可恶。假设我对某一密室架构起了假说，用蓝字说了出来，只要贝阿朵在最后的最后才将此否定，那我就连架构起下一个假说的时间都没有了…！这条规则太烂了，尽对我不利啊…」,「…可惡。假設我對某一密室架構起了假說，用藍字說了出來，只要貝阿朵在最後的最後才將此否定，那我就連架構起下一個假說的時間都沒有了…！這條規則太爛了，盡對我不利啊…」,"""... Dannazione. Quindi anche se creassi una teoria per una particolare stanza chiusa e lo dicessi in blu, se Beato la negasse proprio all'ultimo, io non avrei nemmeno tempo per creare la mia teoria successiva...?! Questa regola è terribile, è davvero pessima per me...""","""... Maldición. ¡¿Así que incluso si puedo crear una teoría de una habitación cerrada en particular, y decirlo en azul, si Beato lo niega al final, ni siquiera tendré tiempo de crear mi próxima teoría?!... Esta regla es horrible, y realmente mala para mí...""","""...ﺳﺤﻘًﺎ. ﻫﺬﺍ ﻳﻌﻨﻲ ﺇﺫﺍ ﻣﺎ ﺻﻐﺖُ ﺑﺎﻷﺯﺭﻕ ﻧﻈﺮﻳﺔً ﻋﻦ ﻏﺮﻓﺔٍ ﻣﻐﻠﻘﺔٍ ﻣﻌﻴﻨﺔ، ﻭﺩﺣﻀﺘﻬﺎ ﺑﻴـﺎﺗﻮ ﻓﻲ ﻧﻬﺎﻳﺔ ﺍﻟﻠﻌﺒﺔ، ﻓﻠﻦ ﻳﻜﻮﻥ ﺃﻣﺎﻣﻲ ﻭﻗﺖٌ ﻛﺎﻑٍّ ﻟﻠﺘﻔﻜﻴﺮ ﻓﻲ ﻏﻴﺮﻫﺎ...! ﻫﺬﻩ ﻗﺎﻋﺪﺓ ﻣﺮﻳﻌﺔ...! ﺇﻧّﻬﺎ ﻻ ﺗﺼﺐّ ﻓﻲ ﻣﺼﻠﺤﺘﻲ ﺑﺄﻱّ ﺷﻜﻞٍ ﻣﻦ ﺍﻷﺷﻜﺎﻝ..."""
Ushiromiya Ange,""".........Are you going to surrender before the fight begins again? Calm down. No one's said that you can only use the blue once for each mystery. Do you understand what that means?""","""......Are you gonna surrender before the fight begins again? Calm down. No one said you could only use the blue once for each mystery. Do you know what that means?"" ",""".........Are you going to surrender before the fight begins again?  Calm down.  No one's said that you can only use the blue once for each mystery.  Do you know what that means?""",「………また戦う前から屈服？落ち着きなさい。ひとつの謎に対して、青は一度しか使えないとは言われてないわ。それがどういう意味かわかる？」,「………また戦う前から屈服？　落ち着きなさい。ひとつの謎に対して、青は一度しか使えないとは言われてないわ。それがどういう意味かわかる？」,""".........Ты снова собираешься сдаться до начала боя? Успокойся. Никто не говорил, что ты можешь использовать голубой только один раз для каждой загадки. Ты понимаешь, что это означает?""",""".........Vai se render antes mesmo da luta começar? Se acalme. Ninguém disse que você só pode usar o azul uma vez para cada mistério. Você entende o que isso significa?""",「………又要在开战前就屈服？冷静一下。她没有说，对一个谜，只能用一次蓝字。知道这意味着什么吗？」,「………又要在開戰前就屈服？冷靜一下。她沒有說，對一個謎，只能用一次藍字。知道這意味著什麼嗎？」,"""... Hai intenzione di arrenderti ancora prima che inizi la battaglia? Calmati. Nessuno ha detto che tu puoi usare il blu una sola volta per ogni mistero. {n}Sai che significa?""","""... ¿Te vas a rendir antes de que la batalla comience de nuevo? Cálmate. Nadie dice que solo puedas usar el azul una vez por cada misterio. ¿Sabes lo que eso quiere decir?""",""".........ﺃﺳﻮﻑ ﺗﺴﺘﺴﻠﻢ ﻗﺒﻞ ﺑﺪﺍﻳﺔ ﺍﻟﻘﺘﺎﻝ؟ ﻓﻜّﺮ ﺑﻬﺪﻭﺀ. ﻫﺬﺍ ﻻ ﻳﻌﻨﻲ ﺑﺎﻟﻀﺮﻭﺭﺓ ﻋﺪﻡ ﺍﺳﺘﻄﺎﻋﺘﻚ ﺍﺳﺘﺨﺪﺍﻡ ﺍﻷﺯﺭﻕ ﺇﻻ ﻣﺮﺓً ﻭﺍﺣﺪﺓً ﻓﻲ ﻛﻞ ﻟﻐﺰ. ﺃﺗﻔﻬﻢ ﻣﺎ ﻳﻌﻨﻴﻪ ﻫﺬﺍ؟"""
Ushiromiya Battler,"""N‐no. ......What does it mean...?""","""N-No. ...What does it mean...?"" ","""N, no.  ......What does it mean...?""",「い、いや。……どういう意味だ…？」,[=JP],"""Н‐нет. ......А что?..""","""N‐Não. ......O que isso significa...?""",「不、不知道。……意味着什么啊…？」,「不、不知道。……意味著什麼啊…？」,"""N-No. ... Che vuol dire...?""","""N‐No... ¿Qué quiere decir?...""","""ﻛـ-ﻛﻼ.  ......ﻣﺎ ﺍﻟﺬﻱ ﻳﻌﻨﻴﻪ...?"""
Ushiromiya Ange,"""In the pitiful way you've been fighting up until now, you've made a single theory, gauged the witch's reaction, and if that one didn't work, you'd then start making another theory. You won't corner a witch like that.""","""In the pitiful way you've been fighting up until now, you've made a single theory, glanced at the witch's complexion, and if that one didn't work, you'd then start making another theory. You won't corner a witch like that."" ","""In the pitiful way you've been fighting up until now, you've made a single theory, glanced at the witch's complexion, and if that one didn't work, you'd then start making another theory.  You won't corner a witch like that.""",「これまでのあなたは、仮説をひとつ立てては魔女の顔色をうかがい、それが駄目だったらその時、改めて別の仮説を立てるという情けない戦い方だった。それじゃ魔女は追い詰められない。」,「これまでのあなたは、仮説をひとつ立てては魔女の顔色をうかがい、それが駄目だったらその時、改めて別の仮説を立てるという情けない戦い方だった。それじゃ魔女は追い詰められない」,"""Твой метод борьбы вплоть до этого момента был жалок вот почему: ты выдвигал одну теорию, глядел на лицо ведьмы, и если эта теория не приносила результата, ты переходил к созданию новой. Так ты ведьму в угол не загонишь.""","""Da penosa forma que você vem lutando até agora, criou uma única teoria, medindo a reação da bruxa, e se ela não funcionar, então você precisa começar outra teoria. Não vai encurralar uma bruxa assim.""",「之前的你所使用的，是“架构起一个假说，然后看魔女脸色，若是被告知不行，则再去重新架构别的假说”的，没出息的作战模式。这样是没法将魔女逼上绝路的。」,「之前的你所使用的，是“架構起一個假說，然後看魔女臉色，若是被告知不行，則再去重新架構別的假說”的，沒出息的作戰模式。這樣是沒法將魔女逼上絕路的。」,"""Nel modo patetico in cui tu lottavi finora, facevi una singola teoria, fissavi la strega, e se quella non funzionava, allora iniziavi ad elaborarne un'altra. {n}Non metterai all'angolo una strega in questo modo.""","""De la lamentable manera en la que has peleado hasta ahora, solo has preparado una teoría en contra de la bruja, evaluado su reacción, y si esa no funcionaba, entonces comenzabas con otra teoría. No arrinconarás a la bruja así.""","""ﻟﻘﺪ ﻛﻨﺖ ﺣﺘﻰ ﺍﻵﻥ ﺗﻘﺎﺗﻞ ﺑﻄﺮﻳﻘﺔ ﻣﺜﻴﺮﺓ ﻟﻠﺸﻔﻘﺔ، ﺑﺤﻴﺚ ﻛﻨﺖ ﺗﺨﻠﻖ ﻧﻈﺮﻳﺔً ﻭﺍﺣﺪﺓ، ﻭﺗﺘﺮﻗﺐ ﺭﺩ ﺍﻟﺴﺎﺣﺮﺓ، ﻭﻣﺎ ﺇﻥ ﺗﺪﺣﻀﻬﺎ ﺍﻟﺴﺎﺣﺮﺓ، ﺣﺘﻰ ﺗﻬﺮﻉ ﻟﻠﺘﻔﻜﻴﺮ ﻓﻲ ﻏﻴﺮﻫﺎ. ﻟﻦ ﺗﺤﺎﺻﺮ ﺳﺎﺣﺮﺓً ﺑﻬﻜﺬﺍ ﻓﻌﻞ."""
Ushiromiya Battler,"""Then how am I meant to fight...... .........You don't mean—""","""Then how should I fight...? ......You don't mean..."" ","""Then how should I fight..................You don't mean...""",「じゃあ、どうやって戦うんだ……。……………まさか…、」,「じゃあ、どうやって戦うんだ……。………まさか…、」,"""Тогда как же мне сражаться?..............Уж не хочешь ли ты сказать...""","""Então como eu devo lutar......? .........Você está dizen—""",「那么，我该怎么与她作战呢……？……………难道要…，」,「那麼，我該怎麼與她作戰呢……？……………難道要…，」,"""Allora come dovrei combattere... non vorrai dire...""","""Entonces, ¿cómo debería pelear?... No querrás decir...""","""ﺇﺫًﺍ ﻛﻴﻒ ﺃﻗﺎﺗﻞ......... .........ﺃﺗﻌﻨﻴﻦ-"""
Ushiromiya Ange,"""Yes, that's right. ......You don't challenge the mysteries with an individual point. {i:You assault them with a wall}. You said yourself in an earlier game that that's what the attitude behind reasoning should be like.""","""Yeah, that's right. ...You don't attack her riddles with a point. {i:You assault them with a wall}. You said so yourself in an earlier game, that the force of your reasoning should be like that."" ","""Yes, that's right.  ......You don't challenge the riddles with a point.You assault them with a wall.  You said that the force of your reasoning should be like that yourself in an earlier game.""",「えぇ、そうよ。……謎に点で挑むんじゃない。{i:面で襲い掛かるのよ}。あなた、以前のゲームで、推理の姿勢はそうあるべきだと自ら言ったわ。」,「えぇ、そうよ。……謎に点で挑むんじゃない。{i:面で襲い掛かるのよ}。あなた、以前のゲームで、推理の姿勢はそうあるべきだと自ら言ったわ」,"""Да, именно так. ......С загадками разбираются не точечными ударами. {i:Нужно нападать стеной}. Ты сам сказал в прошлой игре, что сила твоих рассуждений должна быть именно такой.""","""Sim, isso mesmo. ......Você não deve desafiar os mistérios em pontos individuais. {i:Você os ataca com uma parede}. Você mesmo disse em um jogo anterior que a atitude por trás do raciocínio deveria ser assim.""",「嗯，没错。……不要以点来挑战谜。{i:以面来袭击谜}。你在之前的游戏中自己说过，推理的姿态理应如此。」,「嗯，沒錯。……不要以點來挑戰謎。{i:以面來襲擊謎}。你在之前的遊戲中自己說過，推理的姿態理應如此。」,"""Sì, esatto. ... Non sfidi gli enigmi con un solo punto. Tu li assalti con un muro. Hai detto che la forza del tuo ragionamento dovrebbe essere come quella che hai detto in un gioco precedente.""","""Sí, exacto... No cuestionas los enigmas con un punto individual. {i:Los atacas con un enjambre}. Habías dicho que la fuerza de tu razonamiento debería haber sido así en un juego anterior.""","""ﺃﺟﻞ، ﺑﺎﻟﻀﺒﻂ. ......ﻻ ﺗُﺤَﻞُّ ﺍﻷﻟﻐﺎﺯ ﺑﺎﻟﻬﺠﻤﺎﺕ ﺍﻟﺪﻗﻴﻘﺔ ﺍﻟﻤﻨﻔﺮﺩﺓ. {i:ﺑﻞ ﺑﻮﺍﺑﻞٍ ﻣﻦ ﺍﻟﻬﺠﻤﺎﺕ.} ﻟﻘﺪ ﻗﻠﺖ ﺫﻟﻚ ﺑﻨﻔﺴﻚ ﻓﻲ ﻟﻌﺒﺔ ﺳﺎﺑﻘﺔ، ﺃﻥ ﻋﻠﻰ ﺍﻟﻔﺮﺿﻴﺎﺕ ﺃﻥ ﺗﻜﻮﻥ ﻫﻜﺬﺍ."""
,"Assault...with a wall. That's right, I said so myself before.","Assault...with a wall. That's right, I said so myself earlier. ","Assault...with a wall.That's right, I said so myself earlier.",面で、襲い掛かる。そうさ、前に俺は自らそう言った。,[=JP],"Нападать... стеной. Точно, ранее я так и сказал.","Atacar...com uma parede. Isso mesmo, eu mesmo disse isso antes.",以面，来袭击。对，这是我以前自己说过的话。,以面，來襲擊。對，這是我以前自己說過的話。,"Assaltare... con un muro. Esatto, l'avevo già detto io in precedenza.","Atacar... con un enjambre. Así es, me lo dije a mí mismo antes.",ﻭﺍﺑﻞ... ﻣﻦ ﺍﻟﻬﺠﻤﺎﺕ. ﺻﺤﻴﺢ، ﺃﺫﻛﺮ ﺃﻧّﻲ ﻗﻠﺘﻬﺎ ﺳﺎﺑﻘًﺎ.
,The act of trying to uncover the mystery by reasoning is like trying to shoot a distant target with an arrow.,Guessing and trying to expose the mystery is like trying to shoot a distant target with an arrow. ,"Guessing and trying to expose the mystery is like trying to shoot a distant target with an arrow.",推理し謎を暴く行為は、遠くの的に矢を射るのに似ている。,[=JP],Высказывание догадок и попытки разоблачить тайну — это всё равно что пускать стрелу по далекой цели.,"O ato de tentar revelar o mistério com um raciocínio como esse, atirando em um alvo distante com uma flecha.",通过推理解开谜的行为，类似于向远方的目标放箭。,通過推理解開謎的行為，類似於向遠方的目標放箭。,Ipotizzare e provare a risolvere il mistero è come provare a sparare ad un bersaglio distante con una freccia.,Tratar de exponer el misterio por medio del razonamiento es como intentar disparar con una flecha a distancia.,ﻣﺤﺎﻭﻟﺘﻲ ﻟﻜﺸﻒ ﺍﻟﻐﻤﻮﺽ ﺣﺘﻰ ﺍﻵﻥ ﺗﺸﺒﻪ ﻃﻠﻘﺔ ﺳﻬﻢ ﺿﻌﻴﻔﺔ ﻧﺤﻮ ﻫﺪﻑٍ ﺑﻌﻴﺪ.
,"Until now, I've been shooting off a single flimsy arrow every time, asking the witch if I scored a hit, and then, once told that I missed, preparing my bow again, and shooting off another flimsy arrow.","Until now, I've just been shooting off arrow after arrow, asking the witch if I scored a hit, and then preparing my bow again once I'm told that I've missed. ","Until now, I've been shooting off arrow after arrow, asking the witch if I scored a hit, and then preparing my bow again once I'm told that I've missed, shooting arrows off again.",これまでの俺の戦い方は、矢を一本へろへろと放っては、当たったかどうか魔女に尋ね、外れていると言われては改めて弓を構え、再びへろへろと放つようなものだった。,[=JP],"До сего момента я пускал стрелу за стрелой, спрашивая у ведьмы, попал ли я цель, а затем брал лук на изготовку и снова пускал стрелы после того, как мне заявляли, что я промазал.","Até então, eu vinha atirando com uma simples flecha frágil, perguntando a bruxa se eu havia acertado algo, e então, quando ela dizia que eu errei, eu preparava meu arco novamente, e disparava outra flecha.",我之前的作战模式是，有气无力地射出一支箭，然后询问魔女有没有射中，若是听她说“没射中”，就再次拉开弓，继续有气无力地放箭。,我之前的作戰模式是，有氣無力地射出一支箭，然後詢問魔女有沒有射中，若是聽她說“沒射中”，就再次拉開弓，繼續有氣無力地放箭。,"Fino ad ora, stavo sparando freccia dopo freccia, chiedendo alla strega se avevo colpito, e poi preparando ancora il mio arco se mi veniva detto che avevo mancato, sparando ancora frecce.","Hasta ahora, he disparado flecha tras flecha, preguntándole a la bruja si he acertado, preparando mi arco otra vez cuando me dicen que he fallado, disparando flechas de nuevo.",ﻓﻤﺎ ﺇﻥ ﺃﻃﻠﻖ ﺳﻬﻤًﺎ، ﺇﻻ ﻭﺍﻟﺘﻔﺖُ ﺍﺳﺄﻝ ﺍﻟﺴﺎﺣﺮﺓ ﻋﻤّﺎ ﺇﺫﺍ ﻛﻨﺖ ﻗﺪ ﺃﺻﺒﺖُ ﺍﻟﻬﺪﻑ، ﻭﺑﻤﺠﺮّﺩ ﺇﺧﺒﺎﺭﻱ ﺑﺄﻧﻨﻲ ﺃﺧﻔﻘﺖُ، ﺃﺗﺠﻬﺰ ﻹﻃﻼﻕ ﺳﻬﻢٍ ﺿﻌﻴﻒٍ ﺁﺧﺮ.
,There's no way I'll hit at that rate...{n}Bullets might be a better example than arrows.,There's no way I'll hit at that rate... Bullets might be a better example than arrows. ,"There's no way I'll hit at that rate...Bullets might be a better example than arrows.",そんなんじゃ、当たるわけはねぇんだ…。矢と例えるより、弾丸と例えた方がいいかもしれない。,そんなんじゃ、当たるわけはねぇんだ…。{n}矢と例えるより、弾丸と例えた方がいいかもしれない。,При таком раскладе я ни за что не попаду...{n}Пули могут послужить даже лучшим примером.,Não tem como eu acertar dessa forma...{n}Balas poderiam ser um exemplo melhor do que flechas.,像这样是没可能射中的…。{n}比起以箭举例，或许还是以枪弹举例，要来得更恰当。,像這樣是沒可能射中的…。{n}比起以箭舉例，或許還是以槍彈舉例，要來得更恰當。,Con quel passo è impossibile che colpisca... i proiettili potrebbero essere un esempio migliore delle frecce.,No hay manera en que le acierte desde esta distancia...{n}Las balas serían un mejor ejemplo que las flechas.,ﻟﻦ ﺃﺻﻴﺐ ﺍﻟﻬﺪﻑ ﻋﻠﻰ ﻫﺬﺍ ﺍﻟﻤﻨﻮﺍﻝ...{n}ﺍﻟﺮﺻﺎﺹ ﺗﺸﺒﻴﻪ ﺃﻓﻀﻞ.
