Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Turkish (TR)
Ushiromiya Battler,"""Look, he said it himself, right? He said that there's a very high probability of making a mistake when examining corpses! They disguised it well, or prepared a substitute corpse or something, and faked their own death!! Let's leave the method or trick they used for later...and...you see, it's not that hard to deny a 19th person existed!""","""Look, he said it himself, right? He said there's a very high probability of making a mistake when examining corpses! If you disguised it well enough or prepared a substitute body, you could fake your own death!! Let's leave the method or trick they used for later...and you see, it's not that hard to deny a 19th person existed, right?! ","Look, he said it himself, right? He said that there's a very high probability of making a mistake when examining corpses! If you disguised it well enough or prepared a substitute body, you could fake your own death!! Let's leave the method or trick they used for later...and you see, it's not that hard to deny a 19th person existed, right?! ",ほら、自分でも言ってたぜ？　検死は誤診率が高いとかって！　うまく偽装したとか、身代わり死体を用意したとかで、死を誤魔化したんだ！！　方法やトリックは、これから考えるとして、とにかくとにかく、１９人目を否定することはそう難しいことじゃないんだ！,「ほら、自分でも言ってたぜ？　検死は誤診率が高いとかって！　うまく偽装したとか、身代わり死体を用意したとかで、死を誤魔化したんだ！！　方法やトリックは、これから考えるとして、とにかくとにかく、１９人目を否定することはそう難しいことじゃないんだ！」,"""Слушайте, он же сам сказал, верно? Аутопсия имеет высокий шанс неправильного диагноза! Они хорошенько всё замаскировали или подготовили подставное тело, а затем сымитировали свою собственную смерть!!! Давайте отложим вопрос об использованном методе или трюке на потом... главное, не так уж сложно отрицать, что 19‐й человек существовал!""","""Ei, ele mesmo disse isso, não disse? Ele disse que tinha uma alta possibilidade dele ter se enganado quando examinou os corpos! Eles disfarçaram bem, ou prepararam um corpo substituto e fingiram as próprias mortes!! Vamos deixar o método ou o truque que eles usaram para depois...e...como podem ver, não é tão difícil negar a existência de uma 19ª pessoa!""",「对了，他自己也说过啊？验尸的误诊率很高的！犯人可能用了巧妙的伪装，或者事先准备了代替自己的尸体，伪装出了死的假象！！方法和诡计，可以以后再想，总之不管怎样，要否定第十九人并不难啊！」,「對了，他自己也說過啊？驗屍的誤診率很高的！犯人可能用了巧妙的偽裝，或者事先準備了代替自己的屍體，偽裝出了死的假象！！方法和詭計，可以以後再想，總之不管怎樣，要否定第十九人並不難啊！」,"L'ha detto lui stesso, giusto? Ha detto che le autopsie hanno una gran percentuale di diagnosi sbagliata! Se si dissimula per bene, o si prepara un corpo da sostituire, ci si può fingere morti!! Possiamo pensare al metodo o al trucco dopo... vedete, non è difficile negare l'esistenza di una diciannovesima persona, no?!","""Ecco, l'ha detto lui stesso, no? Ha detto che nelle autopsie c'è un alto tasso di diagnosi errate! Ci si può fingere morti se si dissimula per bene, o se si prepara un cadavere con cui sostituirsi!! Possiamo pensarci dopo al metodo o al trucco usato, ma in ogni caso, non è complicato negare che vi sia una 19ª persona!""","""Miren, él mismo lo dijo, ¿no? ¡De que hay una gran posibilidad de cometer un error al examinar cadáveres! ¡¡El culpable lo disfrazó bien, o preparó un cuerpo sustituto o algo así, y fingió su muerte!! Dejemos el método o truco que usaron para luego... y... ¿No lo ven? ¡No es tan difícil negar que una 19.ª persona existió!""",ﺃﻟﻢ ﻳﻘﻞ ﺫﻟﻚ ﺑﻨﻔﺴﻪ؟ ﻗﺎﻝ ﺃﻥ ﻫﻨﺎﻙ ﺍﺣﺘﻤﺎﻻ ﻛﺒﻴﺮﺍ ﻻﺭﺗﻜﺎﺏ ﺧﻄﺄ ﻋﻨﺪ ﻓﺤﺺ ﺍﻟﺠﺜﺚ! ﺇﺫﺍ ﺷﻮﻫﺖ ﺍﻟﺠﺜﺔ ﺑﺎﺗﻘﺎﻥ ﺃﻭ ﺧﺪﻋﻮﻩ ﺑﻮﺍﺳﻄﺔ ﺟﺜﺔ ﺑﺪﻳﻠﺔ، ﻓﻴﻤﻜﻦ ﺗﺰﻳﻴﻒ ﺍﻟﻤﻮﺕ! ﻟﻨﺘﺮﻙ ﺍﻟﻄﺮﻳﻘﺔ ﺃﻭ ﺍﻟﺨﺪﻋﺔ ﺍﻟﺘﻲ ﺍﺳﺘﺨﺪﻣﻮﻫﺎ ﻟﻮﻗﺖ ﻻﺣﻖ... ﻛﻤﺎ ﺗﺮﻭﻥ، ﻟﻴﺲ ﻣﻦ ﺍﻟﺼﻌﺐ ﺇﻧﻜﺎﺭ ﻭﺟﻮﺩ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟!,"""Kendisi de söylemedi mi? Cesetleri incelerken hata yapma olasılığının çok yüksek olduğunu söylemişti! İyi gizlenmişler ya da yedek bir ceset falan hazırlamışlar ve kendi ölümlerini taklit etmişlerdir!! Kullandıkları yöntemi ya da numarayı sonraya bırakalım...ve...görüyorsunuz, 19. bir kişinin varlığını inkâr etmek o kadar da zor değil!"""
Ushiromiya Battler,"""Much less a {i:witch}! At least that much is completely impossible!!""","Much less a witch, right? At least that much is completely impossible!!"" ","Much less a witch, right? At least that much is completely impossible!!""",ましてや魔女ぉ？　それだけは断じてありえねぇ！！」,「ましてや魔女ぉ？　それだけは断じてありえねぇ！！」,"""Тем более {i:ведьма}! Как минимум это уж точно абсолютно невозможно!!!""","""Muito menos uma {i:bruxa}! Ao menos isso é completamente impossível!!""",「更何况是魔女？只有这是绝对不可能的！！」,「更何況是魔女？只有這是絕對不可能的！！」,"Ancora meno quella di una strega, giusto? Almeno quello è sicuramente impossibile!!""","""Tantomeno che vi sia una {i:strega}, giusto? Sicuramente non può essere quello!!""","""¡Mucho menos una {i:bruja}! ¡¡Al menos eso es completamente imposible!!""","ﻻ ﻳﻮﺟﺪ {f:3:ﺳﺎﺣﺮﺓ}، ﺻﺤﻴﺢ؟! ﻋﻠﻰ ﺍﻷﻗﻞ ﻫﺬﺍ ﻣﺴﺘﺤﻴﻞ ﺗﻤﺎﻣﺎ!!""","""Bir {i:cadı} bile değil! En azından bu kadarı tamamen imkansız!!"""
Ushiromiya Maria,"""............I don't know why you've been trying so stubbornly to say that one of us is the culprit. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi, in other words, you want to suspect one of your relatives...?""","""...I don't know why you've been trying so stubbornly to say that one of us is the culprit. Kihihihihihihihihihi. In other words, you want to suspect one of your relatives...?"" ","""............I don't know why you've been trying so stubbornly to say that one of us is the culprit. Kihihihihihihihihihi, in other words, you wants to suspect one of your relatives...?""",「…………戦人がさっきから、何で頑なに、みんなの中に犯人がいるようにしたいのか、わかんない。きひひひひひひひひひ、つまり戦人は、親族の誰かを疑いたいんだよね…？」,[=JP],"""............Я не знаю, почему ты так упрямо пытаешься доказать, будто один из нас преступник. Ки‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи, другими словами, ты хочешь подозревать одного из твоих родственников?..""","""............Não sei por que você está sendo tão teimoso, tentando dizer que um de nós é o culpado. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi, em outras palavras, você quer suspeitar de um de seus parentes...?""",「…………战人为什么从刚才开始，就那么顽固地想让犯人出现在我们之中呢？搞不懂。唧嘻嘻嘻嘻嘻嘻嘻嘻嘻，总之战人是想怀疑亲戚里的人吧…？」,「…………戰人為什麼從剛才開始，就那麼頑固地想讓犯人出現在我們之中呢？搞不懂。唧嘻嘻嘻嘻嘻嘻嘻嘻嘻，總之戰人是想懷疑親戚裡的人吧…？」,"""... Non capisco perché Battler sta provando così testardamente a dire che uno di noi è il colpevole. Kihihihihihihihihihi, in altre parole, Battler vuole sospettare di uno dei suoi parenti...?""","""...Non capisco perché Battler si stia incaponendo a provare che il colpevole fosse uno di noi. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi, Battler vuole sospettare di uno dei suoi parenti...?""","""... No sé por qué insistes tanto en decir que uno de nosotros es el culpable. Kijiji{0}ji{0}ji{0}ji{0}ji{0}ji{0}jiji, en otras palabras, ¿quieres sospechar de uno de tus familiares?""","""............ﻻ ﺃﻓﻬﻢ ﻳﺎ ﺑﺎﺗﻠﺮ ﻣﺎ ﻳﺠﻌﻠﻚ ﻣﺘﻤﺴﻜﺎ ﺟﺪﺍ ﺑﻔﻜﺮﺓ ﻭﺟﻮﺩ ﺍﻟﻤﺠﺮﻡ ﺑﻴﻨﻨﺎ. ﻛﻴﻬﻴﻬﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻲ{0}ﻫﻴﻬﻴﻬﻴﻬﻲ، ﺃﻱ ﺃﻧﻚ ﺗﺮﻳﺪ ﺃﻥ ﺗﺸﻚ ﻓﻲ ﺃﺣﺪ ﺃﻗﺎﺭﺑﻚ...؟""","""............Battler'ın neden inatla bizden birinin suçlu olduğunu söylemeye çalıştığını anlamıyorum. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihi, yani Battler, akrabalarının birinden mi şüphelenmek istiyorsun...?"""
Ushiromiya Battler,"""That's not it... It's just, uh, I can't easily accept that a 19th person existed...and even if one did, I think we should construct our argument from the point of view that the culprit was a human—witches are something you only start talking about in desperation, at the very end, after everything else has been disproved, that's what I'm trying to say.""","""That's not it... It's just, uh, I can't easily accept that a 19th person existed...and even if one did, I think we should construct our argument from the point of view that the culprit was a human. I'll only accept that it's a witch in desperation, at the very end, after everything else has been disproved."" ","""That's not it... It's just, uh, I can't easily accept that a 19th person existed...and even if one did, I think we should construct our argument from the point of view that the culprit was a human. I'll only accept that it's a witch in desperation, at the very end, after everything else has been disproved.",「そういうわけじゃねぇ…。ただその、安易に１９人目を肯定はできねぇし、仮にいたとしてもそれは人間だって見地から話を構築すべきであって、それら全部を否定しきった最後の最後で苦し紛れに出てくるのが魔女だろって話をしたいんだ。,「そういうわけじゃねぇ…。ただその、安易に１９人目を肯定はできねぇし、仮にいたとしてもそれは人間だって見地から話を構築すべきであって、それら全部を否定しきった最後の最後で苦し紛れに出てくるのが魔女だろって話をしたいんだ」,"""Дело не в этом... Просто, гм, я не могу так сразу принять, что существовал 19‐й человек... и даже если он существовал, я думаю, мы должны строить свои рассуждения с точки зрения того, что преступником был человек. Думать о ведьмах можно разве что совсем отчаявшись, в самом конце, когда всё остальное уже опровергнуто, что я и пытаюсь до вас донести.""","""Não é isso... É só que, bem, eu não posso facilmente aceitar a existência de um a 19ª pessoa...e mesmo se fizermos isso, eu acho que devemos construir nossos argumentos pelo ponto de vista de que o culpado é humano — bruxas são algo que você só começa a falar quando está desesperado e, no final, depois que tudo tiver sido refutado, é isso que estou querendo dizer.""",「不是的…。我只是认为，不能轻易肯定有第十九人，就算有也应该以他是人类的观点为基础来构筑事件全貌。如果最后的最后，这些全部都被否定掉了，在无可奈何的情况下才有魔女这一说啊。」,「不是的…。我只是認為，不能輕易肯定有第十九人，就算有也應該以他是人類的觀點為基礎來構築事件全貌。如果最後的最後，這些全部都被否定掉了，在無可奈何的情況下才有魔女這一說啊。」,"""Non è così... è solo che, uh, non posso accettare così facilmente che esista una diciannovesima persona... e anche se uno lo facesse, credo che dovremmo basare i nostri ragionamenti dal punto di vista che è stato un umano. Accetterò che è opera di una strega solamente in preda alla disperazione, alla fine, dopo che tutto il resto è stato smentito.","""Non è così... Voglio solo dire che non posso accettare così facilmente che esista una 19ª persona, e anche se ve ne fosse una, dovremmo basare i nostri discorsi sulla base che essa sia un essere umano, e che le streghe sono elementi che saltano fuori alla fine, quando si è in preda alla disperazione e ogni cosa è stata smentita.""","""No es eso... Es solo que, eh, no puedo aceptar tan fácilmente que una 19.ª persona existía... e incluso si este fuese el caso, creo que deberíamos construir nuestro argumento desde el punto de vista de que el culpable era un humano. Lo de las brujas es algo que solo dirías con desesperación, justo al final, después de que todo lo demás haya sido refutado, eso intento decir.""","""ﻫﺬﺍ ﻟﻴﺲ ﻣﺎ ﻗﺼﺪﺗﻪ... ﺇﻧﻪ ﻓﻘﻂ، ﺁﻩ، ﻻ ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﻗﺒﻞ ﺑﺴﻬﻮﻟﺔ ﺃﻥ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ ﻛﺎﻥ ﻣﻮﺟﻮﺩﺍ... ﻭﺣﺘﻰ ﻟﻮ ﻛﺎﻥ ﻛﺬﻟﻚ، ﺃﻋﺘﻘﺪ ﺃﻧﻨﺎ ﻳﺠﺐ ﺃﻥ ﻧﺒﻨﻲ ﺣﺠﺘﻨﺎ ﻣﻦ ﻭﺟﻬﺔ ﻧﻈﺮ ﺃﻥ ﺍﻟﺠﺎﻧﻲ ﻛﺎﻥ ﺇﻧﺴﺎﻧﺎ.ﻟﻦ ﺃﻗﺒﻞ ﺑﻮﺟﻮﺩ ﺍﻟﺴﺎﺣﺮﺓ ﺇﻻ ﻣﻦ ﺑﺎﺏ ﺍﻟﻴﺄﺱ ﻭﺑﻌﺪ ﺃﻥ ﺃﺳﺘﻨﻔﺪ ﻛﻞ ﺍﻟﺨﻴﺎﺭﺍﺕ ﺍﻟﻤﻤﻜﻨﺔ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ!","""Öyle değil... Sadece, 19. bir kişinin var olduğunu kolay kolay kabul edemem...ve öyle olsa bile, argümanımızı suçlunun bir insan olduğu bakış açısıyla oluşturmamız gerektiğini düşünüyorum—cadılar sadece çaresizlik içinde, en sonunda, diğer her şey çürütüldükten sonra konuşmaya başladığınız bir şeydir, söylemeye çalıştığım bu."""
Ushiromiya Battler,"""I mean, come on, there's no way witches exist, right?! Why have you all just been casually accepting that the culprit was a witch?""","""There's no way witches exist, right?! Why has everyone been casually accepting that the culprit was a witch? "," There's no way witches exist, right?! Why has everyone been casually accepting that the culprit was a witch?",魔女なんているわけないだろ？！　何でさっきからみんなは、魔女が犯人ってことでひょいひょい納得したがるんだ？,「魔女なんているわけないだろ？！　何でさっきからみんなは、魔女が犯人ってことでひょいひょい納得したがるんだ？」,"""Подумайте, ведьмы же не могут существовать, верно?! Почему все спокойно соглашаются с тем, что преступник — ведьма?""","""Quero dizer, vamos, não tem como uma bruxa existir, certo?! Por que vocês estão aceitando tão casualmente que o culpado é uma bruxa?""",「不可能会有魔女吧？！为什么从刚才开始，大家都那么轻易就接受犯人是魔女了啊？」,「不可能會有魔女吧？！為什麼從剛才開始，大家都那麼輕易就接受犯人是魔女了啊？」,"Le streghe non possono esistere, giusto?! Perché stanno tutti accettando con noncuranza che il colpevole è una strega?","""Le streghe non possono esistere, giusto?! Perché state tutti accettando con superficialità che il colpevole sia una strega?""","""Quiero decir, vamos, ¡no hay forma de que las brujas existan, ¿verdad?! ¿Por qué todos ustedes han estado aceptando tan casualmente que el culpable es una bruja?""",ﻳﺴﺘﺤﻴﻞ ﻭﺟﻮﺩ ﺍﻟﺴﺎﺣﺮﺍﺕ، ﺻﺤﻴﺢ؟ ﻟﻤﺎﺫﺍ ﺃﺻﺒﺢ ﺍﻟﺠﻤﻴﻊ ﺭﺍﻏﺒﻴﻦ ﺑﻌﻔﻮﻳﺔ ﺑﺘﻘﺒﻞ ﻭﺟﻮﺩ ﺍﻟﺴﺎﺣﺮﺓ ﻛﻤﺠﺮﻡ؟,"""Yani, hadi ama, cadıların var olmasına imkan yok, değil mi?! Neden hepiniz suçlunun bir cadı olduğunu kabul ediyorsunuz?"""
Ushiromiya Battler,"""I think it's great how your family love makes you hate the thought that someone close to you is a murderer. But is it alright to just brush things over like that?! Don't you want to find the detestable culprit who killed so many people?!""","I think it's great how your family love makes you hate the thought that someone close to you is a murderer. But is it okay to let that fool you?! Don't you want to find the detestable culprit who killed so many people?!"" "," I think it's great how your family love makes you hate the thought that someone close to you is a murderer. But is it alright to let that fool you?! Don't you want to find the detestable culprit who killed so many people?! ",　そりゃ、身内に殺人犯がいると思いたくねぇ家族愛は立派さ。でも、それで誤魔化しちまっていいのかよ？！　あれだけ大勢を殺した憎き犯人を見つけ出したいとは思わねぇのかよ？！,「そりゃ、身内に殺人犯がいると思いたくねぇ家族愛は立派さ。でも、それで誤魔化しちまっていいのかよ？！　あれだけ大勢を殺した憎き犯人を見つけ出したいとは思わねぇのかよ？！」,"""Конечно, замечательно, что ваша любовь к семье заставляет вас ненавидеть мысль, будто кто‐то из ваших близких — убийца. Но стоит ли позволять этому одурачить вас?! Неужели вы не хотите найти отвратительного преступника, убившего стольких людей?!""","""Eu acho ótimo que o amor pela família faz com que vocês odeiem pensar que alguém próximo a vocês é um assassino. Mas está tudo bem, apenas deixar as coisas dessa forma?! Vocês não querem encontrar o detestável culpado que matou tantas pessoas?!""",「不愿想象自家人里有杀人犯，这份亲情是很了不起。但是，就这样敷衍过去真的好吗？！就没有想把杀了那么多人的可恨犯人找出来的想法吗？！」,「不願想像自家人里有殺人犯，這份親情是很了不起。但是，就這樣敷衍過去真的好嗎？！就沒有想把殺了那麼多人的可恨犯人找出來的想法嗎？！」,"Il vostro amore per la famiglia è meraviglioso, non volete pensare ad uno dei vostri parenti come ad un criminale. Ma è giusto lasciare che questo vi inganni?! Non volete trovare il detestabile colpevole che ha ucciso così tante persone?!","""È ammirevole come il vostro amore per la famiglia non voglia farvi pensare che uno dei nostri parenti sia il colpevole. Ma è giusto che questo vi faccia sviare?! Non volete trovare lo spregevole assassino di così tante persone?!""","""Me parece genial que su amor familiar hace que odien la idea de que alguien cercano es un asesino. ¡¿Pero está bien dejar todo de lado así?! ¡¿No quieren encontrar al detestable culpable que mató a tanta gente?!""",ﺃﺗﻔﻬﻢ ﺷﻌﻮﺭﻛﻢ ﺣﻮﻝ ﻋﺪﻡ ﺭﻏﺒﺘﻜﻢ ﻓﻲ ﺍﻻﺷﺘﺒﺎﻩ ﺑﺎﻟﻌﺎﺋﻠﺔ ﻭﺍﻷﺣﺒﺎﺏ، ﻫﺬﺍ ﻓﻌﻞ ﻧﺒﻴﻞ! ﻭﻟﻜﻦ ﻫﻞ ﻣﻦ ﺍﻟﺠﻴﺪ ﺃﻥ ﺗﺪﻋﻮﺍ ﺫﻟﻚ ﺍﻟﺸﻌﻮﺭ ﻳﺴﻴﻄﺮ ﻋﻠﻴﻜﻢ؟ ﺃﻻ ﺗﺮﻳﺪﻭﻥ ﺍﻛﺘﺸﺎﻑ ﻫﻮﻳﺔ ﺍﻟﺠﺎﻧﻲ ﺍﻟﻠﻌﻴﻦ ﺍﻟﺬﻱ ﻗﺘﻞ ﻛﻞ ﻫﺬﺍ ﺍﻟﻌﺪﺩ ﻣﻦ ﺍﻟﻨﺎﺱ؟,"""Bence aile sevginizin, size yakın birinin katil olduğu düşüncesinden nefret etmenizi sağlaması harika. Ama olayları bu şekilde geçiştirmek doğru mu?! Bu kadar insanı öldüren iğrenç suçluyu bulmak istemiyor musunuz?!"""
Ushiromiya Battler,"""Aniki, you want to avenge your parents, don't you?! Jessica, you want to avenge Kanon‐kun, and Kanon‐kun, you want to avenge Shannon‐chan, right?! Shannon‐chan, you should at least want to know who it was that killed you.""","""Aniki, don't you want to avenge your parents?! Jessica, don't you want to avenge Kanon-kun, and Kanon-kun, don't you want to avenge Shannon-chan?! Shannon-chan, you should at least want to know who it was that killed you. ","Aniki, don't you want to avenge your parents?! Jessica, don't you want to avenge Kanon-kun, and Kanon-kun, don't you want to avenge Shannon-chan?! Shannon-chan, you should at least want to know who it was that killed you.",兄貴だって、両親の仇を見つけたいだろ？！　朱志香だって嘉音くんの仇を、そして嘉音くんだって、紗音ちゃんの仇を見つけたいだろ？！　紗音ちゃんだって、自分を殺したのが誰なのか知りたいはずだ。,「兄貴だって、両親の仇を見つけたいだろ？！　朱志香だって嘉音くんの仇を、そして嘉音くんだって、紗音ちゃんの仇を見つけたいだろ？！　紗音ちゃんだって、自分を殺したのが誰なのか知りたいはずだ」,"""Аники, неужели ты не хочешь отомстить за своих родителей?! Джессика, неужели ты не хочешь отомстить за Канон‐куна, а Канон‐кун, неужели ты не хочешь отомстить за Шаннон‐чан?! Шаннон‐чан, ты должна хотя бы хотеть знать, кто тебя убил.""","""Aniki, você não quer vingar os seus pais?! Jessica, você quer vingar o Kanon‐kun, e Kanon‐kun, você quer vingar a Shannon‐chan, certo?! Shannon‐chan, você ao menos deveria querer saber quem te matou.""",「大哥，你也想找出杀害双亲的仇人吧？！朱志香也想找出杀害嘉音君的仇人吧，还有嘉音君也是，想找出杀害纱音的仇人吧？！纱音也是，应该很想知道杀死自己的是谁。」,「大哥，你也想找出殺害雙親的仇人吧？！朱志香也想找出殺害嘉音君的仇人吧，還有嘉音君也是，想找出殺害紗音的仇人吧？！紗音也是，應該很想知道殺死自己的是誰。」,"Aniki, non vuoi vendicare i tuoi genitori?! Jessica, non vuoi vendicare Kanon-kun, e Kanon-kun, non vuoi vendicare Shannon-chan?! Shannon-chan, tu almeno dovresti voler conoscere chi ti ha ucciso.","""Fratellone, non vuoi vendicare i tuoi genitori?! Jessica, non vuoi vendicare Kanon-kun, e tu, Kanon-kun, non vuoi vendicare Shannon-chan?! Shannon-chan, tu dovresti desiderare di conoscere chi ti abbia ucciso.""","""¡Aniki, quieres vengar a tus padres, ¿no es así?! ¡Jessica, quieres vengar a Kanon‐kun, y Kanon‐kun, quieres vengar a Shannon‐chan, ¿no?! Shannon‐chan, al menos deberías querer saber quien fue el que te mató.""",ﺃﻻ ﺗﺮﻳﺪ ﺍﻻﻧﺘﻘﺎﻡ ﻟﻮﺍﻟﺪﻳﻚ ﻳﺎ ﺃﺧﻲ؟! ﺟﻴﺴﻴﻜﺎ، ﺃﻻ ﺗﺮﻳﺪﻳﻦ ﺍﻟﺜﺄﺭ ﻟﻤﻘﺘﻞ ﻛﺎﻧﻮﻥ-ﻛﻦ؟ ﻭﺃﻧﺖ ﻳﺎ ﻛﺎﻧﻮﻥ، ﺃﻻ ﺗﺮﻳﺪ ﺍﻻﻧﺘﻘﺎﻡ ﻟﻤﻘﺘﻞ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ؟! ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ، ﺃﻻ ﺗﺮﻏﺒﻴﻦ ﻓﻲ ﻣﻌﺮﻓﺔ ﻫﻮﻳﺔ ﻗﺎﺗﻠﻚ؟,"""Aniki, ailenin intikamını almak istemiyor musun?! Jessica, Kanon-kun'un intikamını almak istiyorsun ve Kanon-kun sen de Shannon-chan'ın intikamını almak istiyorsun, değil mi?! Shannon-chan, sen de en azından seni öldürenin kim olduğunu bilmek istemelisin."""
Ushiromiya Battler,"""Why have you all totally surrendered and decided that the culprit was a witch?! What's wrong with all of you?!""","Why has everyone totally surrendered and decided that the culprit was a witch?! What's wrong with all of you?!"" "," Why has everyone totally surrendered and decided that the culprit was a witch?! What's wrong with all of you?!""",何でこうパーンと全面降伏して、魔女が犯人ってことになっちまうんだよ？！　お前らさっきから何なんだ？！」,「何でこうパーンと全面降伏して、魔女が犯人ってことになっちまうんだよ？！　お前らさっきから何なんだ？！」,"""Почему все окончательно капитулировали и решили, что преступник — ведьма?! Что с вами всеми такое?!""","""Por que vocês se renderam totalmente e decidiram que o culpado foi uma bruxa?! O que há de errado com vocês?!""",「干嘛啪地一下子全面投降，都变得把魔女当犯人了？！你们几个从刚才开始怎么了啊？！」,「幹嘛啪地一下子全面投降，都變得把魔女當犯人了？！你們幾個從剛才開始怎麼了啊？！」,"Che significa questa resa totale, dicendo che la strega è il colpevole?! Cosa avete tutti quanti?!""","""Perché vi siete arresi su tutti i fronti e avete deciso che il colpevole è la strega?!Che cosa vi prende?!""","""¡¿Por qué todos se rindieron y decidieron que el culpable era una bruja?! ¡¿Qué les pasa a todos ustedes?!""","ﻟﻤﺎﺫﺍ ﺍﺳﺘﺴﻠﻢ ﺍﻟﺠﻤﻴﻊ ﺗﻤﺎﻣﺎ ﻭﺻﺪﻗﻮﺍ ﺃﻥ ﺍﻟﺠﺎﻧﻲ ﻛﺎﻥ ﺳﺎﺣﺮﺓ؟! ﻣﺎ ﺧﻄﺒﻜﻢ ﺟﻤﻴﻌﺎ؟!""","""Neden hepiniz tamaaamen teslim oldunuz ve suçlunun bir cadı olduğuna karar verdiniz?! Neyiniz var sizin?!"""
,The foolish and short‐tempered Battler tried to force his ignorance on the others by yelling at them.,The foolish and short-tempered Battler tried to force his ignorance on the others and yelled at them. ,"The foolish and short-tempered Battler tried to force his ignorance on the others and yelled at them.",短気で愚かな戦人は、自分の無知を他者に求めようと食って掛かります。,[=JP],Глупый и вспыльчивый Баттлер пытался навязать своё невежество другим и кричал на них.,O insensato e mal‐humorado Battler tentou forçar a sua ignorância sobre os outros gritando com eles.,急躁而又愚蠢的战人，为了让别人认同自己的无知而极力争辩。,急躁而又愚蠢的戰人，為了讓別人認同自己的無知而極力爭辯。,Lo sciocco e irascibile Battler provò a forzare la sua ignoranza sugli altri e urlò contro di loro.,"Lo sciocco e irascibile Battler inveii contrò di loro, cercando di forzare la sua ignoranza sugli altri...","El tonto y malhumorado Battler intentó forzar su ingorancia hacia los otros, gritando.",ﻫﺎﺟﻤﻬﻢ ﺑﺎﺗﻠﺮ ﺑﺠﻬﻠﻪ ﻭﻗﻠﺔ ﺣﻴﻠﺘﻪ، ﻭﺻﺎﺡ ﻋﻠﻴﻬﻢ...,"Aptal ve çabuk sinirlenen Battler, cehaletini diğerlerine bağırarak kabul ettirmeye çalıştı."
,"...However, everyone just looked at him pityingly, silently watching over him.","...However, everyone just looked at him pityingly, silently watching over him. ","...However, everyone just looked at him pityingly, silently watching over him.",…しかし、みんなは憐れみの眼差しで、ただ静かに見守るのでした。,[=JP],...Но все только с жалостью смотрели на него и молчали.,"...No entanto, todos apenas olharam silenciosamente com pena para ele.",…然而，大家却只以怜悯的眼神，静静地看着他。,…然而，大家卻只以憐憫的眼神，靜靜地看著他。,"... Tuttavia, tutti non fecero altro che guardarlo pietosamente, e osservarlo in maniera silenziosa.","Tuttavia, si limitarono ad osservarlo in silenzio, rivolgendogli occhiate compassionevoli.","Sin embargo, todos lo miraban con lástima, observando silenciosamente.",....ﻭﻣﻊ ﺫﻟﻚ، ﺭﺍﻗﺒﻪ ﺍﻟﺠﻤﻴﻊ ﺑﺼﻤﺖ ﻭﺷﻔﻘﺔ.,...Ancak herkes ona acıyarak baktı ve sessizce onu izledi.
,"Then, the wise Maria laughed, and pointed out Battler's mistake for him.","At that time, the wise Maria laughed and pointed out Battler's mistake. "," At that time, the wise Maria laughed and pointed out Battler's mistake.",すると、聡明なる真里亞は笑いながら、戦人に間違いを指摘してあげました。,[=JP],"Только мудрая Мария, смеясь, указала на ошибку Баттлера.","Então, a sábia Maria riu, e apontou o erro de Battler para ele.",然后，聪明的真里亚一边笑着，一边向战人指出了他的错误。,然後，聰明的真里亞一邊笑著，一邊向戰人指出了他的錯誤。,"In quel momento, la saggia Maria, rise, facendo notare a Battler il suo errore.","Al che la saggia Maria rise, facendo notare a Battler il suo errore.","Entonces, la sabia María rió, y señaló el error de Battler por él.",ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ، ﺿﺤﻜﺖ ﻣﺎﺭﻳﺎ ﺍﻟﺤﻜﻴﻤﺔ ﻭﺃﺷﺎﺭﺕ ﺇﻟﻰ ﻏﻠﻄﺔ ﺑﺎﺗﻠﺮ.,Sonra bilge Maria güldü ve Battler'ın hatasını ona gösterdi.
