Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
,Just listening to that added a lot of color to those lonely school hours.,Just listening to that greatly embellished the time she spent in class. ,Just listening to that greatly embellished the time she spent during class.,それに耳を傾けるだけで、寂しい授業時間がとても彩られた。,[=JP],Слушание их болтовни здорово скрашивало время на скучных уроках.,"Só de ouvi‐las, muitas cores eram adicionadas àquelas solitárias horas na escola.",光是去侧耳倾听，就给寂寞的上课时间增添了不少色彩。,光是去側耳傾聽，就給寂寞的上課時間增添了不少色彩。,Il solo sentire quello migliorava moltissimo il tempo che passava durante le lezioni.,Escucharlas volvía mucho más agradable el tiempo que pasaba en clase.,ﻣﺠﺮﺩ ﺍﻻﺳﺘﻤﺎﻉ ﺇﻟﻴﻬﻢ ﺃﺑﻬﺠﻨﻲ ﻓﻲ ﺃﻭﻗﺎﺕ ﺍﻟﺪﺭﺍﺳﺔ ﺍﻟﻤﻤﻠﺔ.
,"I made sure that my other friends, too, were always with me, as long as Mama and the teacher wouldn't find out.","Maria made it so that, as long as Mama and the teacher didn't find out, her other friends could always be with her. ","Maria made it so that, as long as Mama and the teacher didn't find out, her other friends could always be with her.",ママと先生にさえ見つからないなら、他の友達とも常に一緒にいるようにした。,[=JP],"Мария позаботилась, чтобы, пока мама и учитель не обнаружили этого, её друзья всегда были при ней.","Tive certeza de que meus outros amigos também ficassem sempre comigo, desde que a mamãe e os professores não descubram.",因为只要不被妈妈与老师看到就行，所以真里亚还常常带其他朋友一起出去。,因為只要不被媽媽與老師看到就行，所以真里亞還常常帶其他朋友一起出去。,"Maria fece in modo che, finché Mamma e l'insegnante non li scoprissero, gli altri suoi amici potessero sempre essere con lei.","María se aseguró de que, mientras mamá y el profesor no se dieran cuenta, sus otros amigos pudieran estar siempre con ella.",ﻛﻨﺖ ﺣﺮﻳﺼﺔً ﺃﻳﻀًﺎ ﻋﻠﻰ ﺍﺻﻄﺤﺎﺏ ﺑﻘﻴﺔ ﺃﺻﺪﻗﺎﺋﻲ ﻣﻌﻲ، ﻃﺎﻟﻤﺎ ﺃﻥ ﻣﺎﻣﺎ ﻭﺍﻟﻤﻌﻠﻤﻴﻦ ﻟﻦ ﻳﻜﺘﺸﻔﻮﺍ ﺫﻟﻚ.
,"When Mama told me to go play outside, I would secretly pack Sakutaro and Sakusuke and the rest into my bag, and play together at the library or somewhere.","When Mama told Maria to go play outside, Maria would secretly pack Sakutaro and Sakusuke and the rest into her bag and play together at the library or somewhere. ","When Mama told Maria to go play outside, Maria would secretly pack Sakutaro and Sakusuke and the rest into her bag, and play together at the library or somewhere.",ママに、お外で遊んできなさいと言われた時は、こっそりカバンにさくたろやさくすけたちを詰めて行って、図書館とかで一緒に遊んだ。,[=JP],"Когда мама говорила Марии пойти поиграть на улице, Мария тайком клала Сакутаро, Сакусуке и остальных к себе в сумку и играла вместе с ними где‐нибудь в библиотеке.","Quando a mamãe diz para brincar na rua, coloco o Sakutaro e também o Sakusuke e todos os outros na minha bolsa, e brinco com elas na biblioteca ou em outros lugares.",在妈妈叫我去外面玩时，我就偷偷地把樱太郎、樱助他们塞进包里，去图书馆等地一起玩。,在媽媽叫我去外面玩時，我就偷偷地把櫻太郎、櫻助他們塞進包裡，去圖書館等地一起玩。,"Quando Mamma diceva a Maria di andare a giocare fuori, Maria avrebbe messo in segreto Sakutarou e Sakusuke e gli altri nella sua borsa, e avrebbero giocato insieme in biblioteca o da qualche parte.","Cuando mamá le decía a María que jugara fuera, colocaba en secreto a Sakutaro, Sakusuke y los demás en su mochila, y jugaban juntos en la biblioteca o donde fuera.",ﻋﻨﺪﻣﺎ ﺗﻄﻠﺐ ﻣﻨّﻲ ﻣﺎﻣﺎ ﺍﻟﺬﻫﺎﺏ ﻟﻠﻌﺐ ﻓﻲ ﺍﻟﺨﺎﺭﺝ، ﻛﻨﺖ ﺃﺧﺒﺊُ ﺳﺎﻛﻮﺗﺎﺭﻭ ﻭﺳﺎﻛﻮﺳﻮﻛﻲ ﻭﺍﻟﺒﺎﻗﻴﻦ ﻓﻲ ﺣﻘﻴﺒﺘﻲ ﻭﺃﺫﻫﺐ ﺭﻓﻘﺘﻬﻢ ﺇﻟﻰ ﺍﻟﻤﻜﺘﺒﺔ ﻭﻣﺎ ﺷﺎﺑﻪ.
,"And when Mama was late coming home and I went shopping for dinner, I always went with them.","Even when Mama was late coming home and Maria went shopping for dinner, she always went with Sakutaro. ","Even when Mama was late coming home and Maria went shopping for dinner, she always went with Sakutaro.",ママの帰りが遅くて、お夕飯のお買い物なんかに行く時も、常にさくたろたちと一緒に行った。,[=JP],"Даже когда мама приходила домой поздно, и Марии приходилось идти покупать себе обед, она всегда брала с собой Сакутаро.","E quando a mamãe chega tarde em casa e saio para fazer compras para o jantar, sempre levo eles comigo.",在妈妈要很晚才回家，得出门买晚饭时，我也一直是与樱太郎他们一起去的。,在媽媽要很晚才回家，得出門買晚飯時，我也一直是與櫻太郎他們一起去的。,"Anche quando Mamma tornava a casa in ritardo e Maria andava a comprarsi la cena, andava sempre con Sakutarou.","Aun cuando mamá llegaba tarde a casa y María iba a comprar la cena, siempre llevaba a Sakutaro.",ﺣﺘﻰ ﻋﻨﺪﻣﺎ ﺗﺘﺄﺧﺮ ﻣﺎﻣﺎ ﻓﻲ ﺍﻟﻌﻮﺩﺓ ﺇﻟﻰ ﺍﻟﻤﻨﺰﻝ ﻭﺃﺫﻫﺐ ﻟﺸﺮﺍﺀ ﺍﻟﻌﺸﺎﺀ، ﻛﻨﺖ ﻻ ﺃﺗﺮﺩﺩ ﻓﻲ ﺃﺧﺬﻫﻢ ﻣﻌﻲ ﺩﺍﺋﻤًﺎ.
,"The men working at the convenience store were always nice to Sakutaro.{n}Sometimes they even gave me two extra things for free, one for me and one for Sakutaro.",The man at the convenience store and the other people were nice to Sakutaro. He sometimes gave a second portion free for Maria and Sakutaro. ,The man at the convenience store and the other people were nice to Sakutaro.He sometimes gave a second portion free for Maria and Sakutaro.,コンビニのおじさんたちも、さくたろに優しくしてくれた。真里亞とさくたろにって、２つ分のオマケをくれたこともあった。,コンビニのおじさんたちも、さくたろに優しくしてくれた。{n}真里亞とさくたろにって、２つ分のオマケをくれたこともあった。,Мужчина в супермаркете и другие люди были очень добры к Сакутаро.{n}Иногда он давал Марии с Сакутаро вторую порцию бесплатно.,"O homem que trabalha na loja de conveniência é sempre gentil com o Sakutaro.{n}Às vezes, ele até me dá coisas a mais de graça, uma para mim e outra para o Sakutaro.",便利店的叔叔们也亲切地对待樱太郎。{n}还曾给过真里亚与樱太郎两人份的优惠。,便利店的叔叔們也親切地對待櫻太郎。{n}還曾給過真里亞與櫻太郎兩人份的優惠。,L'uomo nel minimarket e l'altra gente erano sempre gentili con Sakutarou. {n}A volte dava una seconda porzione per Maria e Sakutarou.,"El dependiente de la tienda local y el resto de gente eran muy amables con Sakutaro.{n}A veces, el dependiente entregaba una segunda porción gratis a María y Sakutaro.",ﺣﺘﻰ ﺍﻟﻌﻢّ ﻓﻲ ﻣﺘﺠﺮ ﺍﻟﺒﻘﺎﻟﺔ ﻛﺎﻥ ﻟﻄﻴﻔﺎً ﻣﻊ ﺳﺎﻛﻮﺗﺎﺭﻭ.{n}ﺣﺘﻰ ﺃﻧﻪ ﺃﻋﻄﺎﻧﻲ ﻫﺪﻳﺘﻴﻦ ﻓﻲ ﺇﺣﺪﻯ ﺍﻟﻤﺮﺍﺕ، ﻭﺍﺣﺪﺓ ﻟﻲ ﻭﻭﺍﺣﺪﺓ ﻟﺴﺎﻛﻮﺗﺎﺭﻭ.
,"Whenever Mama found out, I would get in trouble for bringing Sakutaro and the rest outside.","When Mama found out, Maria would get in trouble for bringing Sakutaro and the rest outside. ","When Mama found out, Maria would get in trouble for bringing Sakutaro and the rest outside.",ママにそれを見つかると、さくたろたちを連れてきちゃ駄目と怒られる。,[=JP],"Когда мама узнавала, Марии влетало за то, что она брала Сакутаро и остальных с собой на улицу.","Sempre que a mamãe descobre, fico com problemas por ter levado todos comigo.",一被妈妈看到，就会被妈妈骂：不准把樱太郎他们带出去。,一被媽媽看到，就會被媽媽罵：不准把櫻太郎他們帶出去。,"Quando Mamma lo avrebbe scoperto, Maria sarebbe andata nei guai per aver portato fuori Sakutarou e gli altri.","Cuando mamá se enteraba, María se metía en problemas por llevar a Sakutaro y a los demás fuera.",ﺇﻥ ﺍﻛﺘﺸﻔﺖ ﺃﻣﻲ ﺍﻷﻣﺮ، ﺳﺘﻐﻀﺐ ﻭﺗﻤﻨﻌﻨﻲ ﻣﻦ ﺇﺣﻀﺎﺭ ﺳﺎﻛﻮﺗﺎﺭﻭ ﻭﺍﻟﺒﺎﻗﻮﻥ.
,"Whenever the teacher found out, I would get in trouble for bringing toys to school.","When the teacher found out, Maria would get in trouble for bringing toys to school. ","When the teacher found out, Maria would get in trouble for bringing toys to school.",先生にそれを見つかると、おもちゃを学校に持ってきちゃ駄目と怒られる。,[=JP],"Когда узнавал учитель, Марии доставалось за то, что приносила игрушки в школу.","Sempre que um professor descobre, fico com problemas por ter levado elas para a escola.",一被老师看到，就会被老师骂：不准把玩具带到学校来。,一被老師看到，就會被老師罵：不准把玩具帶到學校來。,"Quando l'insegnante lo avrebbe scoperto, Maria sarebbe andata nei guai per aver portato giocattoli a scuola.","Cuando el profesor se enteraba, María se metía en problemas por llevar juguetes a la escuela.",ﻭﺇﻥ ﺍﻛﺘﺸﻔﺖ ﺍﻟﻤﻌﻠﻤﺔ ﺍﻷﻣﺮ، ﺳﺘﻐﻀﺐ ﻭﺗﻤﻨﻌﻨﻲ ﻣﻦ ﺇﺣﻀﺎﺭ ﺍﻟﻠُﻌﺐ ﺇﻟﻰ ﺍﻟﻤﺪﺭﺳﺔ.
,The toxin must be strong in Mama and the teacher. That's why Sakutaro and the others just look like normal stuffed animals to them.,The toxin must be strong in Mama and the teacher. That's why Sakutaro looks like a normal stuffed animal to them. ,The toxin must be strong in Mama and the teacher.So Sakutaro looks like a normal stuffed animal to them.,きっと、ママと先生は毒素が強いんだ。だからさくたろたちが、ただのぬいぐるみに見えちゃうんだ。,[=JP],"Видать, токсин слишком силен в маме и учителе. В их глазах Сакутаро — всего лишь обычная мягкая игрушка.","A toxina deve ser muito forte na mamãe e no professor. Por isso o Sakutaro, assim como os outros, parecem apenas animais de pelúcia para eles.",妈妈与老师一定带有很浓的毒素。所以，才把樱太郎他们看成了普通的人偶。,媽媽與老師一定帶有很濃的毒素。所以，才把櫻太郎他們看成了普通的人偶。,La tossina dev'essere forte in Mamma e nell'insegnante. Quindi per loro Sakutarou deve sembrare come un normale pupazzo.,La toxina debía tener mucha fuerza en mamá y el profesor. Así que Sakutaro les parecía un típico animal de peluche.,ﻻ ﺑﺪّ ﻭﺃﻥ ﺍﻟﺴﻢ ﺍﻟﻤﻘﺎﻭﻡ ﻟﻠﺴﺤﺮ ﻗﻮﻱٌّ ﻓﻲ ﻣﺎﻣﺎ ﻭﺍﻟﻤﻌﻠﻤﻴﻦ. ﻟﻬﺬﺍ ﻳﺒﺪﻭ ﺳﺎﻛﻮﺗﺎﺭﻭ ﻓﻲ ﻧﻈﺮﻫﻢ ﻣﺠﺮّﺩ ﺩﻣﻴﺔ ﻣﺤﺸﻮﺓ ﻋﺎﺩﻳﺔ.
,"After all, the men at the convenience store say hello to Sakutaro.","After all, the convenience store man and the others say hello to Sakutaro. ","After all, the man and the others at the convenience store say hello to Sakutaro.",だって、コンビニのおじさんたちは、さくたろにも挨拶してくれるよ。,[=JP],Ведь всё‐таки мужчина и остальные в минимаркете здороваются с Сакутаро.,"Afinal, o homem da loja de conveniências sempre diz isso para o Sakutaro.",毕竟，便利店的叔叔们可是会对樱太郎打招呼的。,畢竟，便利店的叔叔們可是會對櫻太郎打招呼的。,"Dopotutto, l'uomo e gli altri nel minimarket salutano Sakutarou.","Después de todo, el dependiente y el resto de la tienda local saludaban a Sakutaro.",ﻣﻊ ﺫﻟﻚ، ﻻ ﻳﺘﺮﺩﺩ ﻋﺎﻣﻞ ﺍﻟﻤﺘﺠﺮ ﻓﻲ ﺇﻟﻘﺎﺀ ﺍﻟﺘﺤﻴﺔ ﻋﻠﻰ ﺳﺎﻛﻮﺗﺎﺭﻭ ﺩﺍﺋﻤًﺎ.
,".........Not all {y:0:Human}{n:0:human}s are worthless. There are a ton of people who, unlike Ange and Mama and my teacher, can say hello to magic friends like I can......","......Not all Humans are hopeless. There are tons of people who, unlike Ange and Mama and teacher, can say hello to magic friends like I can... ",".........Not all humans are worthless.There are a ton of people who, unlike Ange and Mama and teacher, can say hello to magic friends like I can......",………ニンゲンみんなが駄目なんじゃない。縁寿やママや先生と違って、私みたいに魔法の友達と挨拶が出来る人だって大勢いるんだ……。,[=JP],"........Не все {y:0:Люд}{n:0:люд}и никчемны. Есть уйма людей, которые, в отличие от Энджи, мамы и учителя, могут, как и я, здороваться с волшебными друзьями...",".........Nem todos os {y:0:Humanos}{n:0:humanos} são desalentos. Há muitas pessoas que, diferente da Ange, da mamãe e do meu professor, podem dizer oi para amigos mágicos assim como eu......",………并不是每一个人类都不行的。倒也是存在着许许多多的，与缘寿、妈妈、老师不同，能像我这样与魔法的朋友说话、打招呼的人呢……。,………並不是每一個人類都不行的。倒也是存在著許許多多的，與緣壽、媽媽、老師不同，能像我這樣與魔法的朋友說話、打招呼的人呢……。,"... Non tutti gli umani sono senza valore. Ci sono un sacco di persone che, a differenza di Ange, Mamma e l'insegnante, possono salutare amici magici come me...","... No todos los {y:0:Humanos}{n:0:humanos} son despreciables. Hay un montón de personas que, al contrario que Ange, mamá y el profesor, pueden saludar a amigos mágicos como yo...",.........ﻓﻌﻠﻰ ﻋﻜﺲ ﺇﻧﺠﻲ ﻭﻣﺎﻣﺎ ﻭﺍﻟﻤﻌﻠﻤﻴﻦ. ﻟﻴﺲ ﺟﻤﻴﻊ ﺍﻟﺒﺸﺮ ﻣﻴﺆﻭﺱٌ ﻣﻨﻬﻢ. ﺇﺫ ﺃﻧﻪ ﻳﻮﺟﺪ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻷﺷﺨﺎﺹ ﺍﻟﺬﻳﻦ ﻳﺮﺣﺒﻮﻥ ﺑﺄﺻﺪﻗﺎﺀ ﺳﺤﺮﻳﻴﻦ ﻛﻤّﺎ ﺃﻓﻌﻞ......
,"""Oh, Maria‐chan. Welcome. Is your mama late coming home tonight too...?""","""Oh, Maria-chan. Welcome. Was your Mama late coming home tonight too...?"" ","""Oh, Maria-chan.  Welcome.  Was your Mama late coming home tonight too...?""",「真里亞ちゃんかい。いらっしゃい。今夜もママは帰りが遅いのかい…？」,[=JP],"""О, Мария‐чан. Добро пожаловать. Твоя мама опять сегодня поздно придёт домой?""","""Ora, Maria‐chan. Bem‐vinda. Sua mãe vai chegar tarde em casa hoje também...?""",「是小真里亚啊。欢迎欢迎。今晚，妈妈也很晚回家…？」,「是小真里亞啊。歡迎歡迎。今晚，媽媽也很晚回家…？」,"""Oh, Maria-chan. Benvenuta. La tua Mamma torna a casa in ritardo anche stasera...?""","""Oh, María‐chan. Bienvenida. ¿También hoy llegará tarde tu mamá?...""","""ﺁﻩ، ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ. ﻣﺮﺣﺒًﺎ ﺑﻚ. ﻫﻞ ﺳﺘﺘﺄﺧﺮ ﺃﻣﻚ ﻓﻲ ﺍﻟﻌﻮﺩﺓ ﻫﺬﻩ ﺍﻟﻠﻴﻠﺔ ﺃﻳﻀًﺎ...?"""
Ushiromiya Maria,"""Yeah. ......But Sakutaro's with me, so I'm not lonely. Right, Sakutaro?""","""Yeah. ...But I've got Sakutaro, so I'm not lonely. Right, Sakutaro?"" ","""Yeah.  ......But Maria's with Sakutaro, so Maria isn't lonely.  Right, Sakutaro?""",「うん。……でも、さくたろたちも一緒だから、寂しくないの。ね、さくたろ？」,[=JP],"""Ага. Но у Марии есть Сакутаро, так что ей не одиноко. Верно, Сакутаро?""","""Sim. ......Mas o Sakutaro está comigo, por isso não me sinto sozinha. Não é mesmo, Sakutaro?""",「嗯。……不过，真里亚与樱太郎他们在一起，所以不寂寞。是吧，樱太郎？」,「嗯。……不過，真里亞與櫻太郎他們在一起，所以不寂寞。是吧，櫻太郎？」,"""Sì. ... Ma Maria è con Sakutarou, quindi Maria non è triste. Vero, Sakutarou?""","""Sí... Pero María no está sola, está con Sakutaro. ¿Verdad, Sakutaro?""","""ﻧﻌﻢ. ......ﻟﻜﻦ ﺳﺎﻛﻮﺗﺎﺭﻭ ﺑﺮﻓﻘﺘﻲ، ﻟﺬﺍ ﻻ ﺃﺷﻌﺮ ﺑﺎﻟﻮﺣﺪﺓ. ﺃﻟﻴﺲ ﻛﺬﻟﻚ ﻳﺎ ﺳﺎﻛﻮﺗﺎﺭﻭ؟"""
Sakutarou,‘Uryuu. It's not just me today. Other friends are also with us.’,‘Uryu. It's not just Sakutaro today. Some other friends came too.’ ,『Uryu.  It's not just Sakutaro today.  Other friends are also with us.』,『うりゅー。今日はね、さくたろだけじゃないんだよ。他のお友達も一緒なんだよ。』,『うりゅー。今日はね、ボクだけじゃないんだよ。他のお友達も一緒なんだよ』,{p:0:『}Урю. И не только Сакутаро. Остальные друзья тоже с нами.{p:0:』},‘Uryuu. Não sou só eu hoje. Outros amigos também estão com a gente.’,『呜溜——。今天呀，不止偶一个哟。别的朋友也一起来了哦。』,『嗚溜——。今天呀，不止偶一個喲。別的朋友也一起來了哦。』,{p:0:『}Uryu. Non c'è solo Sakutarou oggi. Ci sono anche altri amici con noi. {p:0:』},‘Uryuu. Hoy no solo está Sakutaro. También nos acompañan otros amigos.’,‘ﺃﻭﺭﻳﻮﻭ. ﻭﻟﻴﺲ ﺃﻧﺎ ﻭﺣﺴﺐ. ﺑﻞ ﺍﻵﺧﺮﻭﻥ ﺃﻳﻀًﺎ ﻣﻌﻨﺎ.’
,"""Oh, other friends? What kind of friends are with you today?""","""Oh, other friends, is it? What kind of friends did you bring today?"" ","""Oh, other friends, is it?  What kind of friends did you bring today?""",「おや、他のお友達かい。今日はどんなお友達が一緒なんだい？」,[=JP],"""О, другие друзья, значит? Каких друзей ты принесла сегодня?""","""Oh, outros amigos? Que tipo de amigos vieram com você hoje?""",「哦呀，别的朋友啊。今天还与哪位朋友一起啊？」,「哦呀，別的朋友啊。今天還與哪位朋友一起啊？」,"""Oh, altri amici, sì? Che tipo di amici hai portato oggi?""","""Oh, ¿otros amigos? ¿Qué clase de amigos te acompañan hoy?""","""ﺃﻭﻩ، ﺃﺻﺪﻗﺎﺀ ﺁﺧﺮﻭﻥ؟ ﻣﻦ ﻳﻜﻮﻧﻮﻥ?"""
Ushiromiya Maria,"""Today, the rabbits from the forest band are also with me. ......Look, they're in my pocket.""","""Today, the rabbits from the forest band are also with me. ...Look, in my pocket."" ","""Today, the rabbits from the forest band are also with Maria.  ......Look, in my pocket.""",「今日はね、森の音楽隊のうさぎさんたちも一緒。……ほら、ポケットに入ってるの。」,「今日はね、森の音楽隊のうさぎさんたちも一緒。……ほら、ポケットに入ってるの」,"""Сегодня кролики из лестного ансамбля тоже с Марией. ......Вот, у меня в кармане.""","""Hoje, as coelhas da banda da floresta também estão comigo. ......Veja, estão no meu bolso.""",「今天呀，森林乐团的兔子们也有一起来哦。……瞧，在我口袋里哦。」,「今天呀，森林樂團的兔子們也有一起來哦。……瞧，在我口袋裡哦。」,"""Oggi, con Maria ci sono anche i conigli della banda degli animali. ... Guarda, nella mia tasca.""","""Hoy, las conejas de la banda del bosque están también con María... Mira, en mi bolsillo.""","""ﻓﺮﻗﺔ ﺃﺭﺍﻧﺐ ﺍﻟﻐﺎﺑﺔ ﺍﻟﻤﻮﺳﻴﻘﻴﺔ ﺑﺼﺤﺒﺘﻲ ﺍﻟﻴﻮﻡ. ......ﺍﻧﻈﺮ، ﺇﻧﻬﻢ ﻓﻲ ﺟﻴﺒﻲ."""
,Maria began to line up four ceramic rabbit dolls on the register.,Maria began to line up four ceramic rabbit dolls on the register. ,[=UP],真里亞は、陶製のうさぎの人形を４つ、レジの上に並べ始める。,[=JP],Мария начала выставлять керамические фигурки кроликов на прилавке.,Maria começou a alinhar quatro coelhinhas de cerâmica em cima do balcão do caixa.,真里亚把陶制的四个兔子人偶，一个一个地排到了收银台上。,真里亞把陶製的四個兔子人偶，一個一個地排到了收銀台上。,Maria cominciò ad allineare quattro coniglietti di ceramica sulla cassa.,María empezó a alinear cuatro conejos de cerámica en la caja registradora.,ﺷﺮﻋﺖ ﻣﺎﺭﻳﺎ ﺗﺼّﻒُ ﺃﺭﺑﻌﺔ ﺩﻣﻰ ﻣﻦ ﺍﻷﺭﺍﻧﺐ ﺍﻟﺨﺰﻓﻴﺔ ﻋﻠﻰ ﻣﻨﻀﺪﺓ ﺍﻟﻤﺤﺎﺳﺒﺔ.
,"As the owner of the shop looked at them with a smile, he signaled a part‐timer with his chin.","As the owner of the shop looked at it, smiling, he sent a signal to a part-timer with his chin. ","As the owner of the shop looked at it smiling, he sent a signal to a part-timer with his chin.",店長のおじさんはそれを微笑ましそうに見ると、アルバイトに顎で合図を送る。,[=JP],"С улыбкой наблюдая за этим, владелец магазина подбородком сделал знак рабочему на полставки.","Enquanto o dono da loja olhava para eles com um sorriso, ele fez sinal para um empregado de meio‐período com o queixo.",店长面露微笑地看着她，然后以下巴向打工的店员递了个暗号。,店長面露微笑地看著她，然後以下巴向打工的店員遞了個暗號。,"Mentre il proprietario li guardava sorridendo, lanciò un segnale col mento a un lavoratore part-time.","Mientras el dueño de la tienda lo observaba con una sonrisa, le hizo una señal a un trabajador a tiempo parcial con su barbilla.",ﻧﻈﺮ ﺇﻟﻴﻬﺎ ﺻﺎﺣﺐ ﺍﻟﻤﺘﺠﺮ ﻣﺒﺘﺴﻤًﺎ، ﺛﻢ ﺃﻭﻣﺄ ﺑﺮﺃﺳﻪ ﺇﻟﻰ ﻋﺎﻣﻞ ﺑﺪﻭﺍﻡ ﺟﺰﺋﻲ.
,"The sign on the other register that said ""closed"" was taken down, and the part‐timer called out for everyone to move over there.","Then, the sign on the other register that said ""closed"" was taken down, and a voice called out for everyone to move over there. ","Then, the sign on the other register that said 'closed' was taken down, and a voice called out for everyone to move over there.",すると、もうひとつのレジの、準備中という札が下げられ、お待ちの方こちらにどうぞーと声が掛けられた。,[=JP],"Картонка с надписью ""закрыто"" на другой кассе была убрана, и голос позвал остальных посетителей перейти к ней.","A placa no outro caixa que dizia ""fechado"" foi removida, e o empregado chamou a todos para irem para lá.",接着，另一个收银台撤下了写着“准备中”的牌子，传来了“请等候着的顾客，来这边付款——”的招呼声。,接著，另一個收銀台撤下了寫著“準備中”的牌子，傳來了“請等候著的顧客，來這邊付款——”的招呼聲。,"Poi, la scritta sull'altra cassa che diceva ‘chiusa’ venne tolta, e una voce invitò tutti a spostarsi lì.","Así, el cartel en la otra caja registradora, en la que ponía ""Cerrado"", fue quitado, y una voz llamó a todos los clientes a situarse allí.",ﺣﻴﻨﻬﺎ ﺃﺯﺍﻝ ﻻﻓﺘﺔ 'ﻣﻐﻠﻖ' ﺍﻟﻤﻮﺟﻮﺩﺓ ﻓﻲ ﻣﻨﻀﺪﺓ ﺍﻟﻤﺤﺎﺳﺒﺔ ﺍﻷﺧﺮﻯ ﻭﻃﻠﺐ ﻣﻦ ﺍﻟﺠﻤﻴﻊ ﺃﻥ ﻳﺼﻄﻔﻮﺍ ﻫﻨﺎﻙ.
,All of the people in line behind Maria formed a new line over there instead...,All of the people in line behind Maria lined up behind that one... ,All of the people in line behind Maria lined up behind that one...,真里亞の後に並んでいた人たちは全員、そちらに並び直す…。,[=JP],"Все люди, стоявшие в очереди позади Марии, переместились к тому прилавку...",Todos que estavam na fila atrás de Maria se alinharam na nova fila...,排在真里亚身后的人们全都去了那边，重新排起了队…。,排在真里亞身後的人們全都去了那邊，重新排起了隊…。,Tutte le persone in fila dietro a Maria si accodarono dietro quella...,Toda la gente situada tras María hizo cola en esa caja...,ﻓﺘﺤﺮﻙ ﻛﻞ ﻣﻦ ﻛﺎﻥ ﻓﻲ ﺍﻟﻄﺎﺑﻮﺭ ﺧﻠﻒ ﻣﺎﺭﻳﺎ ﺇﻟﻰ ﺍﻟﻤﺤﺎﺳﺐ ﺍﻵﺧﺮ...
,"""Yes, I see. You sure have a lot of friends, Maria‐chan. But I hope your mama comes home soon.""","""I see, I see. You do have a lot of friends, Maria-chan. But I hope your Mama comes home soon."" ","""I see, I see.  You do have a lot of friends, Maria-chan.  But I hope your Mama comes home soon.""",「そうかそうか。真里亞ちゃんにはお友達がいっぱいだねぇ。ママも早く帰ってきてくれればいいのに。」,「そうかそうか。真里亞ちゃんにはお友達がいっぱいだねぇ。ママも早く帰ってきてくれればいいのに」,"""Понятно, понятно. У тебя и правда много друзей, Мария‐чан. Но я надеюсь, что твоя мама скоро вернётся.""","""Sim, entendo. Você tem mesmo muitos amigos, Maria‐chan. Mas eu espero que sua mãe volte logo para casa.""",「这样啊。小真里亚有好多好多的朋友呢。妈妈要是也能早点回家就好了啊。」,「這樣啊。小真里亞有好多好多的朋友呢。媽媽要是也能早點回家就好了啊。」,"""Vedo, vedo. Hai proprio un sacco di amici, Maria-chan. Ma spero che la tua Mamma torni a casa presto.""","""Ya veo, ya veo. Tienes muchos amigos, María-chan. Pero espero que tu mamá vuelva pronto a casa.""","""ﻓﻬﻤﺖ، ﻓﻬﻤﺖ. ﻟﺪﻳﻚ ﺃﺻﺪﻗﺎﺀ ﻛﺜﻴﺮﻭﻥ ﺑﺎﻟﻔﻌﻞ ﻳﺎ ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ. ﺁﻣﻞ ﺃﻥ ﺗﻌﻮﺩ ﺃﻣﻚ ﺇﻟﻰ ﺍﻟﻤﻨﺰﻝ ﻋﻤﺎ ﻗﺮﻳﺐ."""
