Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Battler,"""...Except he got totally roasted. Probably wanted a bit more than that out of half a life's research.""","""...Then he got totally roasted though. Feels like that result doesn't quite add up to the cost of researching for half his life."" ","""...Although he was completely roasted. Feels like that result doesn't quite add up to the cost of researching for half of his life.""",「…丸焼きにされちまったけどな。人生の半分を掛けた研究にしては、ちょいと割りの合わない成果だろうぜ。」,「…丸焼きにされちまったけどな。人生の半分を掛けた研究にしては、ちょいと割りの合わない成果だろうぜ」,"""...Вот только он полностью изжарился. Судя по результатам, их цена не совсем оправдывает потраченную целую половину жизни.""","""...Exceto que ele ficou totalmente torrado. Provavelmente ele esperava um pouquinho mais que isso, depois da metade de uma vida de pesquisa.""",「…不过就是被做成了烤全人啊。以花费半生的研究来说，这可是个稍微有点不划算的成果呢。」,「…不過就是被做成了烤全人啊。以花費半生的研究來說，這可是個稍微有點不划算的成果呢。」,"""... Anche se poi è stato completamente arrostito. Pare che alla fine il risultato non sia stato proporzionale alla metà della vita che ha passato a fare ricerche.""","""...Except he got totally roasted. Probably wanted a bit more than that out of half a life's research.""","""... Excepto que fue totalmente rostizado. Probablemente quiso un poco más que eso a cambio del coste de investigar durante la mitad de su vida.""","""...ﻟﻜﻨّﻪ ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﺃﺻﺒﺢ ﻛﺘﻠﺔ ﻟﺤﻢ ﻣﺸﻮﻳﺔ ﻛﻠﻴًﺎ. ﻻ ﺃﻋﺘﻘﺪ ﺃﻥ ﻧﻬﺎﻳﺘﻪ ﺗﻠﻚ ﺗﺴﺘﺤﻖ ﺍﻟﺘﻀﺤﻴﺔ ﺑﻨﺼﻒ ﺣﻴﺎﺗﻪ.""","""...Except he got totally roasted. Probably wanted a bit more than that out of half a life's research.""","""...Except he got totally roasted. Probably wanted a bit more than that out of half a life's research.""","""...Except he got totally roasted. Probably wanted a bit more than that out of half a life's research."""
Ushiromiya George,"""I wouldn't say that. .........Even if it was only for an instant, ......Grandfather must have been happy to be reunited with the woman he loved.""","""That's not true. ......Even if it was only for an instant, ...Grandfather must have been happy to be reunited with the woman he loved."" ","""That's not true. .........Even if it was only for an instant, ......Grandfather should have been happy to be reunited with the woman he loved.",「そんなことはないよ。………たとえほんのひと時であったとしても。……愛した女性に再会できたお祖父さまは幸せだったはずさ。,「そんなことはないよ。………たとえほんのひと時であったとしても。……愛した女性に再会できたお祖父さまは幸せだったはずさ」,"""Это не совсем так. .........Даже если только на мгновение..... дедушка, должно быть, был рад воссоединиться с любимой женщиной.""","""Eu não diria isso. .........Mesmo se foi apenas por um instante, ......o vovô deve ter ficado feliz por poder se reunir com a mulher que ele amava.""",「没这种事。………即便只是短短的一瞬。……做到与深爱的女性重逢的爷爷，也理应是很幸福的。」,「沒這種事。………即便只是短短的一瞬。……做到與深愛的女性重逢的爺爺，也理應是很幸福的。」,"""Questo non è vero. ... Anche se è durato solo un istante... il Nonno deve essere stato felice di poter rivedere la donna che amava.","""I wouldn't say that. .........Even if it was only for an instant, ......Grandfather must have been happy to be reunited with the woman he loved.""","""Yo no diría eso... Incluso si fuese solo por un instante... el abuelo debió haber sido feliz al estar reunido con la mujer que amó.""","""ﻫﺬﺍ ﻟﻴﺲ ﺻﺤﻴﺤًﺎ. .........ﺣﺘﻰ ﻟﻮ ﻟﻠﺤﻈﺔ، ......ﻻ ﺑﺪّ ﻭﺃﻥ ﺟﺪﻱ ﻛﺎﻥ ﺳﻌﻴﺪًﺍ ﺑﻠﻘﺎﺀ ﺍﻟﻤﺮﺃﺓ ﺍﻟﺘﻲ ﺃﺣﺒّﻬﺎ.""","""I wouldn't say that. .........Even if it was only for an instant, ......Grandfather must have been happy to be reunited with the woman he loved.""","""I wouldn't say that. .........Even if it was only for an instant, ......Grandfather must have been happy to be reunited with the woman he loved.""","""I wouldn't say that. .........Even if it was only for an instant, ......Grandfather must have been happy to be reunited with the woman he loved."""
Ushiromiya George,""".........Even if his sin of defying life's providence was punished by God, and his body was burnt and sent down to hell, ...and even if the reunion he got in return only lasted a very short time...""","""......And that would be true...even if his crime of going against divine providence was punished by God, and his body was burnt and sent down to hell, ...even if that reunion only lasted a very short time, right...?"" ",".........Even if his crime of going against divine providence was punished by God, and his body was burnt and sent down to hell, ...even if that reunion only lasted a very short time, right...?""",………仮に、生命の摂理に逆らった罪を神に咎められて、その身を焼かれ、地獄に落とされたとしても。…その見返りの再会が、ほんのわずかな時間だったとしても、ね…。」,「………仮に、生命の摂理に逆らった罪を神に咎められて、その身を焼かれ、地獄に落とされたとしても。…その見返りの再会が、ほんのわずかな時間だったとしても、ね…」,""".........Даже если его преступление было направлено против божьего промысла, и он был наказан Богом, а его тело оказалось сожжено и отправлено в ад... Даже если эта встреча длилась лишь краткое мгновение, так ведь?..""",""".........Mesmo que o pecado dele de desafiar a providência da vida foi punido por Deus, e seu corpo foi queimado e enviado ao Inferno, ...e mesmo se a reunião que ele conseguiu em troca durou apenas um tempo muito curto...""",「………就算，被神追究忤逆生命规律之罪，焚身下了地狱。…就算以此为代价获得的重逢，只有短短的一点时间…」,「………就算，被神追究忤逆生命規律之罪，焚身下了地獄。…就算以此為代價獲得的重逢，只有短短的一點時間…」,"... Anche se Dio l'ha punito per essersi opposto alla divina provvidenza, e il suo corpo è stato bruciato e gettato all'inferno... anche se quella riunione non è durata che per un brevissimo lasso di tempo, non è così...?""",""".........Even if his sin of defying life's providence was punished by God, and his body was burnt and sent down to hell, ...and even if the reunion he got in return only lasted a very short time...""","""... Incluso si su delito fue ir en contra de la divina providencia y fue castigado por Dios, quemando su cuerpo y enviado al infierno... e incluso si el reencuentro que obtuvo a cambio duró muy poco tiempo...""",""".........ﺣﺘﻰ ﻟﻮ ﻏﻀﺒﺖ ﻣﻨﻪ ﺍﻵﻟﻬﺔ ﻟﻤﺨﺎﻟﻔﺘﻪ ﻗﻮﺍﻧﻴﻦ ﺍﻟﻄﺒﻴﻌﺔ، ﻭﻫﻮّﺕ ﺑﻪ ﺇﻟﻰ ﺃﻋﻤﺎﻕ ﺍﻟﺠﺤﻴﻢ ﻭﺍﺣﺮﻗﺖ ﺟﺴﺪﻩ ﺑﺎﻟﻜﺎﻣﻞ، ...ﺫﻟﻚ ﺍﻟﻠﻘﺎﺀ ﺍﻟﻘﺼﻴﺮ ﺟﺪًﺍ ﻳﺴﺘﺤﻖ ﻛﻞ ﺍﻟﺘﻀﺤﻴﺎﺕ....""",""".........Even if his sin of defying life's providence was punished by God, and his body was burnt and sent down to hell, ...and even if the reunion he got in return only lasted a very short time...""",""".........Even if his sin of defying life's providence was punished by God, and his body was burnt and sent down to hell, ...and even if the reunion he got in return only lasted a very short time...""",""".........Even if his sin of defying life's providence was punished by God, and his body was burnt and sent down to hell, ...and even if the reunion he got in return only lasted a very short time..."""
Ushiromiya Jessica,"""George nii‐san......""","""George nii-san..."" ","""George nii-san......""",「譲治兄さん……。」,「譲治兄さん……」,"""Джордж нии‐сан......""","""George nii‐san......""",「让治哥……」,「讓治哥……」,"""George nii-san...""","""George nii‐san......""","""George nii‐san...""","""ﺟﻮﺭﺝ ﻧﻴﻲ-ﺳﺎﻥ......""","""George nii‐san......""","""George nii‐san......""","""George nii‐san......"""
Ushiromiya George,"""......I wouldn't care if I met with the wrath of God and had my body burned. .........Even if it was just for a short amount of time, ......if I could revive Shannon again, ..................I would sacrifice the rest of my life to the same research as Grandfather.""","""...I wouldn't care I met with the wrath of God and had my body burned. ......Even if it was just for a short amount of time, ...if I could revive Shannon again, .........I would sacrifice the rest of my life to the same research as Grandfather. ","""......It doesn't matter if I meet with the wrath of God and have my body burned. .........Even if it's just a short amount of time, ......if I could revive Shannon again, ...............I would sacrifice the rest of my life to the same research as Grandfather.",「……神の怒りに触れて、この身を焼かれようとも構わない。………わずかな時間でもいいから、……紗音を再び蘇らせてくれるなら。………………僕は残りの人生全てを、お祖父さまと同じ研究に捧げるよ。,「……神の怒りに触れて、この身を焼かれようとも構わない。………わずかな時間でもいいから、……紗音を再び蘇らせてくれるなら。………………僕は残りの人生全てを、お祖父さまと同じ研究に捧げるよ」,"""......Меня не волнует, падёт ли на меня гнев Божий и будет ли сожжено моё тело. .........Даже если всего лишь на краткий промежуток времени... если бы я снова смог оживить Шаннон..... я пожертвовал бы остатком своей жизни на те же исследованиям, что и дедушка.""","""......Eu não ligaria se eu me encontrasse com a ira de Deus e tivesse meu corpo queimado. .........Mesmo se fosse só por uma curta quantia de tempo, ......se eu pudesse reviver a Shannon novamente, ..................eu sacrificaria o resto da minha vida à mesma pesquisa que o vovô.""",「……就算会触怒神，焚尽此身也没关系。………只要短短一瞬就行了，……若是能让纱音再度复生。………………我就把剩下的人生，全都献给与爷爷相同的研究。」,「……就算會觸怒神，焚盡此身也沒關係。………只要短短一瞬就行了，……若是能讓紗音再度復生。………………我就把剩下的人生，全都獻給與爺爺相同的研究。」,"""... Non mi importerebbe di incorrere nell'ira divina e di avere il corpo ridotto in cenere. ... Anche se si trattasse di pochissimo tempo... se potessi riportare in vita Shannon... sacrificherei il resto della mia vita alla stessa ricerca del Nonno.","""......I wouldn't care if I met with the wrath of God and had my body burned. .........Even if it was just for a short amount of time, ......if I could revive Shannon again, ..................I would sacrifice the rest of my life to the same research as Grandfather.""","""... No me importaría recibir la ira de Dios y que mi cuerpo fuera quemado... Incluso si es solo por poco tiempo... si pudiese devolver a la vida a Shannon, sacrificaría el resto de mi vida a investigar cómo, al igual que el abuelo.""","""......ﻻ ﻳﻬﻤﻨﻲ ﻏﻀﺐ ﺍﻵﻟﻬﺔ ﻭﻋﻮﺍﻗﺐ ﺫﻟﻚ. .........ﻟﻮ ﻛﺎﻥ ﺑﺎﻹﻣﻜﺎﻥ، ......ﺍﺳﺘﻌﺎﺩﺓ ﺷﺎﻧﻮﻥ ﻭﻟﻮ ﻟﻠﺤﻈﺔٍ ﻗﺼﻴﺮﺓ، ..................ﻷﻓﻨﻴﺖُ ﺑﻘﻴﺔ ﺣﻴﺎﺗﻲ ﻓﻲ ﺳﺒﻴﻞ ﺍﻟﺒﺤﺚ ﻋﻦ ﺫﻟﻚ ﻣﺜﻞ ﺟﺪﻱ.""","""......I wouldn't care if I met with the wrath of God and had my body burned. .........Even if it was just for a short amount of time, ......if I could revive Shannon again, ..................I would sacrifice the rest of my life to the same research as Grandfather.""","""......I wouldn't care if I met with the wrath of God and had my body burned. .........Even if it was just for a short amount of time, ......if I could revive Shannon again, ..................I would sacrifice the rest of my life to the same research as Grandfather.""","""......I wouldn't care if I met with the wrath of God and had my body burned. .........Even if it was just for a short amount of time, ......if I could revive Shannon again, ..................I would sacrifice the rest of my life to the same research as Grandfather."""
Ushiromiya George,"""......Five minutes would be enough, ......I just want to talk with Shannon again... ......Even one minute would be fine...... ......In exchange, ...I wouldn't mind......sacrificing the rest of my life......!""","...I want to talk with Shannon again, ...even if it's only for five minutes... ...Even one minute would be fine... ...In exchange, ...I wouldn't mind...sacrificing the rest of my life...!"" "," ......Five minutes would be enough, ......because I want to talk with Shannon again.........Even one minute would be fine............In exchange, ...I wouldn't mind, ......sacrificing the rest of my life......!""",……５分でいいから、……紗音ともう一度言葉を交わしたい…。……１分でもいいから……。……それと引き換えに、…全ての人生を捧げても、……僕は構わない……！」,「……５分でいいから、……紗音ともう一度言葉を交わしたい…。……１分でもいいから……。……それと引き換えに、…全ての人生を捧げても、……僕は構わない……！」,"""......Пяти минут вполне бы хватило..... потому что я хочу снова поговорить с Шаннон... ......Хватило бы даже одной минуты...... в обмен на это... я бы не возражал..... пожертвовать своей жизнью!..""","""......Cinco minutos seriam o suficiente, ......eu só quero falar com a Shannon de novo... ......Até um minuto estaria bom...... ......Em troca, ...eu não me importaria......em sacrificar o resto da minha vida......!""",「……有五分钟就行了，……我想与纱音再交谈一次…。……就一分钟也行……。……作为此的代价，…就算是要献上整个人生，……我也无所谓……！」,「……有五分鐘就行了，……我想與紗音再交談一次…。……就一分鐘也行……。……作為此的代價，…就算是要獻上整個人生，……我也無所謂……！」,"... Cinque minuti sarebbero sufficienti... perché voglio parlare di nuovo con Shannon... persino un solo minuto andrebbe bene... in cambio... non mi spiacerebbe... sacrificare ciò che resta della mia vita...!""","""......Five minutes would be enough, ......I just want to talk with Shannon again... ......Even one minute would be fine...... ......In exchange, ...I wouldn't mind......sacrificing the rest of my life......!""","""... Cinco minutos serían suficientes... porque quiero hablar con Shannon de nuevo... Incluso un minuto estaría bien... ¡A cambio... no me importaría... sacrificar el resto de mi vida!...""","""......ﺧﻤﺲ ﺩﻗﺎﺋﻖ ﻻ ﻏﻴﺮ، ......ﻻ ﺃﺭﻳﺪ ﺳﻮﻯ ﺍﻟﺤﺪﻳﺚ ﻣﻌﻬﺎ ﻣﺠﺪﺩًﺍ... ......ﻻ ﺑﺄﺱ ﺣﺘﻰ ﻟﻮ ﻟﺪﻗﻴﻘﺔ ﻭﺍﺣﺪﺓ...... ......ﻣﻘﺎﺑﻞ ﺫﻟﻚ، ﻟﻦ ﺃﻣﺎﻧﻊ ﺍﻟﺘﻀﺤﻴﺔ ﺑﺤﻴﺎﺗﻲ...!""","""......Five minutes would be enough, ......I just want to talk with Shannon again... ......Even one minute would be fine...... ......In exchange, ...I wouldn't mind......sacrificing the rest of my life......!""","""......Five minutes would be enough, ......I just want to talk with Shannon again... ......Even one minute would be fine...... ......In exchange, ...I wouldn't mind......sacrificing the rest of my life......!""","""......Five minutes would be enough, ......I just want to talk with Shannon again... ......Even one minute would be fine...... ......In exchange, ...I wouldn't mind......sacrificing the rest of my life......!"""
Ushiromiya Battler,""".........Aniki......""","""......Aniki..."" ",""".........Aniki......""",「………兄貴……。」,「………兄貴……」,""".........Аники...""",""".........Aniki......""",「………大哥……」,「………大哥……」,"""... Aniki...""",""".........Aniki......""","""... Aniki...""",""".........ﺃﺧﻲ......""",""".........Aniki......""",""".........Aniki......""",""".........Aniki......"""
,"When Battler and Jessica realized that their pointless discussion was hurting George, they had no choice but to shut their mouths...","When Battler and Jessica realized that their pointless discussion was causing George pain, they could do nothing more than shut their mouths... ","When Battler and Jessica realized that their pointless discussion was giving George painful feelings, they could do nothing more than shut their mouths...",戦人と朱志香は、自分たちの下らない話が、譲治に辛い思いをさせてしまったことを悟り、口をつぐむ他なかった…。,戦人と朱志香は、自分たちの下らない話が、譲治に辛い思いをさせてしまったことを悟り、口をつぐむ他なかった…。,"Когда Баттлер и Джессика поняли, что их бессмысленные обсуждения лишь пробуждают у Джорджа болезненные чувства, им ничего не оставалось, кроме как замолчать...","Quando Battler e Jessica perceberam que sua discussão inútil estava machucando George, eles não tiveram escolha além de calar suas bocas...",战人与朱志香意识到自己那些无益的废话，戳到了让治的伤心处后，紧紧闭上了嘴…。,戰人與朱志香意識到自己那些無益的廢話，戳到了讓治的傷心處後，緊緊閉上了嘴…。,"Quando Battler e Jessica si accorsero che la loro futile discussione stava causando dolore a George, non poterono far altro che chiudere la bocca...","When Battler and Jessica realized that their pointless discussion was hurting George, they had no choice but to shut their mouths...","Cuando Battler y Jessica se dieron cuenta que esa inútil discusión estaba lastimando a George, no pudieron hacer nada, salvo cerrar la boca...",ﺃﺩﺭﻙ ﺑﺎﺗﻠﺮ ﻭﺟﻴﺴﻴﻜﺎ ﺃﻥ ﻧﻘﺎﺷﻬﻤﺎ ﻟﻦ ﻳﺆﺩﻱ ﺇﻟﻰ ﺃﻱّ ﻓﺎﺋﺪﺓ ﺳﻮﻯ ﺃﻥ ﻳُﻔﺎﻗﻢ ﺃﻟﻢ ﺟﻮﺭﺝ، ﻟﺬﺍ ﻓﻀﻼ ﺇﻏﻼﻕ ﺃﻓﻮﺍﻫﻬﻤﺎ...,"When Battler and Jessica realized that their pointless discussion was hurting George, they had no choice but to shut their mouths...","When Battler and Jessica realized that their pointless discussion was hurting George, they had no choice but to shut their mouths...","When Battler and Jessica realized that their pointless discussion was hurting George, they had no choice but to shut their mouths..."
,......George directed his thoughts at Kinzo's life:,...George directed his thoughts to Kinzo's life. ,"......George directed his thoughts at Kinzo's life.",……譲治は、金蔵の生涯に思いを馳せる。,……譲治は、金蔵の生涯に思いを馳せる。,......Джордж направил свои мысли к жизни Кинзо.,......George direcionou seus pensamentos à vida de Kinzo.,……让治遐想着金藏的一生。,……讓治遐想著金藏的一生。,... George volse i suoi pensieri alla vita di Kinzo.,......George directed his thoughts at Kinzo's life:,... George dirigió sus pensamientos a la vida de Kinzo.,......ﺃﻣّﺎ ﺟﻮﺭﺝ ﻓﻘﺪ ﺳﺮﺡ ﺑﺄﻓﻜﺎﺭﻩ ﺣﻮّﻝ ﺣﻴﺎﺓ ﻛﻴﻨﺰﻭ.,......George directed his thoughts at Kinzo's life:,......George directed his thoughts at Kinzo's life:,......George directed his thoughts at Kinzo's life:
,I saw him sacrifice half of his life to research that no one could understand.,He sacrificed half his life to research that no one understood. ," He had sacrificed half of his life to research that no one could understand.",彼は誰の理解も得られない研究に半生を捧げた。,彼は誰の理解も得られない研究に半生を捧げた。,"Он пожертвовал половину своей жизни на исследования, которые никто не мог понять.",Ele sacrificou metade de sua vida a uma pesquisa que mais ninguém era capaz de compreender.,他将半生献给了不会获得任何人理解的研究。,他將半生獻給了不會獲得任何人理解的研究。,Lui aveva sacrificato metà della sua esistenza ad una ricerca che nessuno poteva comprendere.,I saw him sacrifice half of his life to research that no one could understand.,Él había sacrificado media vida en investigar algo que nadie podría comprender.,ﺭﺃﻳﺘﻪ ﻳﻀﺤﻲ ﺑﻨﺼﻒ ﺣﻴﺎﺗﻪ ﻣﻦ ﺃﺟﻞ ﺃﺑﺤﺎﺙٍ ﻻ ﻳﻔﻬﻤﻬﺎ ﺃﺣﺪ.,I saw him sacrifice half of his life to research that no one could understand.,I saw him sacrifice half of his life to research that no one could understand.,I saw him sacrifice half of his life to research that no one could understand.
,"......And, on the last day of his life, he revived the person he loved most, ......and probably succeeded in his reunion in his final moments.","...And, on the last day of his life, he revived the person he loved most, ...and probably succeeded in his reunion in his final moments. ","......And, on the last day of his life, he had revived the person he loved most, ......and probably succeeded in his reunion in his final moments.",……そして、その人生の最後の日に最愛の人を蘇らせ、……恐らく最後の瞬間に、再会を果たすことができただろう。,……そして、その人生の最後の日に最愛の人を蘇らせ、……恐らく最後の瞬間に、再会を果たすことができただろう。,"......И в последний день своей жизни он возродил человека, которого любил больше всех... И, вероятно, преуспел в своём воссоединении в свои последние мгновения.","......E, no último dia de sua vida, ele reviveu a pessoa que mais amava,{n}......e provavelmente teve sucesso em se reunir com ela em seus momentos finais.",……然后，在其人生的最后一天，复活了最爱之人，……恐怕，他是在最后的瞬间，终于了了重逢的心愿吧。,……然後，在其人生的最後一天，復活了最愛之人，……恐怕，他是在最後的瞬間，終於了了重逢的心願吧。,"... E, proprio nel suo ultimo giorno, aveva riportato in vita la persona che amava di più... e probabilmente era riuscito a rincontrarla nei suoi ultimi istanti.","......And, on the last day of his life, he revived the person he loved most, ......and probably succeeded in his reunion in his final moments.","... Y, en el último día de su vida, revivió a la persona que más amó... y probablemente tuvo éxito en aquella reunión en su momento final.",......ﻭﻓﻲ ﺍﻟﻴﻮﻡ ﺍﻷﺧﻴﺮ ﻣﻦ ﺣﻴﺎﺗﻪ ﻧﺠﺢ ﻓﻲ ﺇﺣﻴﺎﺀ ﺍﻟﻤﺮﺃﺓ ﺍﻟﺘﻲ ﺃﺣﺒّﻬﺎ، ......ﻭﺭﺑﻤﺎ، ﻓﻲ ﻟﺤﻈﺎﺗﻪ ﺍﻷﺧﻴﺮﺓ، ﻧﺠﺢ ﺃﺧﻴﺮًﺍ ﻓﻲ ﻟﻘﺎﺋﻬﺎ ﻣﺠﺪﺩًﺍ.,"......And, on the last day of his life, he revived the person he loved most, ......and probably succeeded in his reunion in his final moments.","......And, on the last day of his life, he revived the person he loved most, ......and probably succeeded in his reunion in his final moments.","......And, on the last day of his life, he revived the person he loved most, ......and probably succeeded in his reunion in his final moments."
,"I don't know how much time they were able to spend together. ...I don't know whether they were given an hour, ...or just five minutes.",George didn't know how much time they'd had together. ...He didn't know if they'd been given an hour...or just five minutes. ," George didn't know how much time they had spent together....He didn't know whether they had been given an hour, ...or just five minutes.",どれだけの時間を共に過ごせたかはわからない。…１時間を許されたのか、…それともたったの５分だったのか、…わからない。,どれだけの時間を共に過ごせたかはわからない。…１時間を許されたのか、…それともたったの５分だったのか、…わからない。,"Джордж не знал, как много времени они провели вместе. ...Он не знал, были ли они вместе час... или же всего пять минут.","Não sei quanto tempo eles foram capazes de passar juntos. ...Não sei se eles tiveram uma hora, ...ou só cinco minutos.",不知他们共度了多少时间。…是获得了一小时吗，…还是只有区区五分钟呢，…这就无从得知了。,不知他們共度了多少時間。…是獲得了一小時嗎，…還是只有區區五分鐘呢，…這就無從得知了。,George non sapeva quanto tempo avessero trascorso assieme. ... Non sapeva nemmeno se gli fosse stata concessa un'ora... o solo cinque minuti.,"I don't know how much time they were able to spend together. ...I don't know whether they were given an hour, ...or just five minutes.",George no sabía cuánto tiempo habían pasado juntos... Él no sabía si se les había dado una hora... o solo cinco minutos.,ﻻ ﺃﻋﺮﻑ ﻛﻢ ﻣﻦ ﺍﻟﻮﻗﺖ ﻗﻀﻴﺎﻩ ﻣﻌًﺎ. ...ﻻ ﺃﻋﻠﻢ ﺇﻥ ﻛﺎﻧﺖ ﺳﺎﻋﺔ ﻛﺎﻣﻠﺔ... ﺃﻡ ﻣﺠﺮﺩ ﺧﻤﺲ ﺩﻗﺎﺋﻖ.,"I don't know how much time they were able to spend together. ...I don't know whether they were given an hour, ...or just five minutes.","I don't know how much time they were able to spend together. ...I don't know whether they were given an hour, ...or just five minutes.","I don't know how much time they were able to spend together. ...I don't know whether they were given an hour, ...or just five minutes."
,"However, ......in that moment, all of that time he had sacrificed for his research must have been rewarded. ...Even though he spent decades to gain it, that small amount of time must have been enough to reward him.","However, ...that moment must have been enough to reward him for all those months of research. ...Even though he spent dozens of years to achieve it, that small amount of time was probably more than worth it to him. "," However, ......in that moment, all of that time he had sacrificed for his research should have been rewarded....Even though he spent dozens of years to gain it, that small amount of time was probably enough to reward him.",しかし、……その瞬間に彼が研究に捧げた月日は、全て報われたはずだ。…数十年の月日を掛けて得た、そのわずかな時間で、十分に彼の心は報われたはずだ。,しかし、……その瞬間に彼が研究に捧げた月日は、全て報われたはずだ。…数十年の月日を掛けて得た、そのわずかな時間で、十分に彼の心は報われたはずだ。,"Однако... В тот момент всё то время, что он пожертвовал на свои исследования, должно было быть вознаграждено. ...Хотя он и посвятил десятки лет тому, стремясь преуспеть в этом, лишь этого недолгого времени, возможно, было достаточно, чтобы вознаградить его.","Porém, ......naquele momento, todo o tempo que ele sacrificou para sua pesquisa deve ter sido recompensado. ...Mesmo que ele tenha gasto décadas para ganhá‐la, aquela pequena quantia de tempo deve ter sido o suficiente para recompensá‐lo.",不过，……在那一瞬间，他为研究所献上的岁月，应该全都得到了回报。…花费数十年所得的，短短的时间，应该充分地回报了他的心。,不過，……在那一瞬間，他為研究所獻上的歲月，應該全都得到了回報。…花費數十年所得的，短短的時間，應該充分地回報了他的心。,"Ad ogni modo... in quell'istante, tutto il tempo che aveva sacrificato studiando era stato ricompensato. ... Nonostante avesse speso anni e anni per guadagnarlo, quel briciolo di tempo era stato probabilmente sufficiente a ricompensarlo.","However, ......in that moment, all of that time he had sacrificed for his research must have been rewarded. ...Even though he spent decades to gain it, that small amount of time must have been enough to reward him.","Sin embargo... en ese momento, todo ese tiempo que había sido dedicado a la investigación, debió ser recompensado... A pesar de que pasó docenas de años para conseguirlo, esa pequeña cantidad de tiempo fue probablemente la suficiente para recompensarle.",ﻭﻣﻊ ﺫﻟﻚ، ﻻ ﺑﺪّ ﺃﻥ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ ﻛﺎﻧﺖ ﻛﺎﻓﻴﺔً ﻹﺭﺿﺎﺋﻪ ﻣﻘﺎﺑﻞ ﻛﻞ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﺍﻟﺬﻱ ﻗﻀﺎﻩ ﻓﻲ ﺇﺑﺤﺎﺛﻪ. ...ﺭﻏﻢ ﺃﻧّﻪ ﺃﻣﻀﻰ ﻋﻘﻮﺩًﺍ ﻓﻲ ﺳﺒﻴﻞ ﺗﺤﻘﻴﻖ ﻫﺬﻩ ﺍﻟﻐﺎﻳﺔ، ﺇﻻ ﺃﻥ ﺫﻟﻚ ﺍﻟﻘﺪﺭ ﺍﻟﻀﺌﻴﻞ ﻣﻦ ﺍﻟﻮﻗﺖ ﺭﺑﻤﺎ ﻛﺎﻥ ﻳﺴﺘﺤﻖ ﻛﻞ ﺍﻟﻌﻨﺎﺀ ﻓﻲ ﻧﻈﺮﻩ.,"However, ......in that moment, all of that time he had sacrificed for his research must have been rewarded. ...Even though he spent decades to gain it, that small amount of time must have been enough to reward him.","However, ......in that moment, all of that time he had sacrificed for his research must have been rewarded. ...Even though he spent decades to gain it, that small amount of time must have been enough to reward him.","However, ......in that moment, all of that time he had sacrificed for his research must have been rewarded. ...Even though he spent decades to gain it, that small amount of time must have been enough to reward him."
